name,url,Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Current_Country_Of_Reg,Imported,County,Independant_Dealer,Dublin2,Model,Price,Engine_Size,External_Length,Fuel_Tank_Capacity,External_Width,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,External_Height,Boot_Volume,Ground_Clearance,Euro_NCAP_Overall_Safety_Rating,Engine_Power,Top_Speed,Acceleration,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Battery_Capacity
2014 Toyota Voxy Hybrid **LOW KMS** **Discounted**,https://www.donedeal.ie/cars-for-sale/2014-toyota-voxy-hybrid-low-kms-discounted/39148630,---,"110,000 km",1.8 L Petrol Hybrid,Mar 2024,2014,---,1,Toyota,Petrol Hybrid,MPV,---,---,7,White,,Ireland,Unknown country,,"Private Seller
No rating yet","Dundalk, Co. Louth",Voxy,"€16,500",,,,,,,,,,,,,,,,,,,
Kia Sportage 2021,https://www.donedeal.ie/cars-for-sale/kia-sportage-2021/39362457,K3,"44,100 km",1.6 L Diesel Hybrid,Feb 2025,2021,Manual,2,Kia,Diesel Hybrid,SUV,5,Medium Trim,5,White,270,Ireland,No,,"Private Seller
3.0/5 (1)","Enniscorthy, Co. Wexford",Sportage,"€27,950",1.6 L,4.49 m,,1.86 m,4.5 L/100 km,4.8 L/100 km,5.2 L/100 km,1.64 m,,,5/5,115 hp,175 km/h,11.8 sec,83%,71%,90%,66%,0.4 kWh
Bmw 520d msport,https://www.donedeal.ie/cars-for-sale/bmw-520d-msport/39362459,N,"212,000 mi",2.0 L Diesel,Jun 2025,2010,---,4,BMW,,,,,,,270,Ireland,UK,,"Verified Private Seller
No rating yet","Enniscorthy, Co. Wexford",5-Series,"€6,750",,,,,,,,,,,,,,,,,,,
DEPOSIT TAKEN,https://www.donedeal.ie/cars-for-sale/deposit-taken/39362444,Ambition,"105,000 mi",2.0 L Diesel,Mar 2025,2017,Manual,2,Skoda,Diesel,Saloon,4,Medium Trim,5,White,190,Ireland,No,Co. Monaghan,Independent Dealer,"Carrickmacross, Co. Monaghan",Superb,"€17,999",2.0 L,4.86 m,,1.86 m,3.7 L/100 km,4.1 L/100 km,4.8 L/100 km,1.47 m,,,,,,,,,,,
Volkswagen Polo 75 Edition 1.0tsi 95hp Manual,https://www.donedeal.ie/cars-for-sale/volkswagen-polo-75-edition-1-0tsi-95hp-manual/39362203,---,30 km,1.0 L Petrol,---,2025,Manual,1,Volkswagen,Petrol,Hatchback,5,---,---,Grey,,Ireland,No,Co. Dublin,"Franchise Dealer
4.4/5",Co. Dublin,Polo,"€26,495",,,,,,,,,,,,,,,,,,,
Toyota Auris (Hybrid) for Sale,https://www.donedeal.ie/cars-for-sale/toyota-auris-hybrid-for-sale/39362401,Luna,"74,000 mi",1.8 L Petrol Hybrid,Feb 2027,2017,Automatic,2,Toyota,Petrol Hybrid,Hatchback,5,Medium Trim,5,Silver,180,Ireland,UK,,"Private Seller
No rating yet","Dublin 8, Co. Dublin",Auris,"€13,500",1.8 L,4.28 m,,1.76 m,3.4 L/100 km,3.5 L/100 km,3.4 L/100 km,1.46 m,,,5/5,136 hp,180 km/h,10.9 sec,84%,66%,92%,68%,1.3 kWh
Ford Focus 2015,https://www.donedeal.ie/cars-for-sale/ford-focus-2015/39362370,ST2,"135,000 km",2.0 L Diesel,Jul 2025,2015,Manual,3,Ford,Diesel,Hatchback,5,Sports Trim,5,Black,190,Ireland,UK,,"Private Seller
No rating yet","Clonakilty, Co. Cork",Focus,"€14,000",2.0 L,,,,3.8 L/100 km,4.2 L/100 km,5.0 L/100 km,,,,5/5,,,,82%,71%,92%,72%,
Peugeot 308 2015,https://www.donedeal.ie/cars-for-sale/peugeot-308-2015/36481244,Allure,"254,000 km",1.6 L Diesel,Jun 2025,2015,Manual,1,Peugeot,Diesel,Hatchback,5,Medium Trim,5,Red,180,Ireland,N. Ireland,Co. Cavan,Independent Dealer,"Cavan, Co. Cavan",308,"€8,990",1.6 L,4.25 m,53 L,1.80 m,3.5 L/100 km,3.8 L/100 km,4.4 L/100 km,1.46 m,"1,309 L",11 cm,,,,,,,,,
Volkswagen Polo 75 Edition 1.0tsi 95hp Manual,https://www.donedeal.ie/cars-for-sale/volkswagen-polo-75-edition-1-0tsi-95hp-manual/39362158,---,30 km,1.0 L Petrol,---,2025,Manual,1,Volkswagen,Petrol,Hatchback,5,---,---,Silver,,Ireland,No,Co. Dublin,"Franchise Dealer
4.4/5",Co. Dublin,Polo,"€26,495",,,,,,,,,,,,,,,,,,,
Volvo V40 2013,https://www.donedeal.ie/cars-for-sale/volvo-v40-2013/37706521,ES,"304,000 km",1.6 L Diesel,Feb 2025,2013,Manual,3,Volvo,Diesel,Hatchback,5,Base Trim,5,Blue,180,Ireland,UK,Co. Cavan,Independent Dealer,"Cavan, Co. Cavan",V40,"€5,990",1.6 L,4.37 m,52 L,1.80 m,3.4 L/100 km,3.6 L/100 km,4.0 L/100 km,1.45 m,876 L,13 cm,,,,,,,,,
