name,url,Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Current_Country_Of_Reg,Imported,County,Independant_Dealer,Dublin2,Model,Price,Engine_Size,External_Length,Fuel_Tank_Capacity,External_Width,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,External_Height,Boot_Volume,Ground_Clearance,Euro_NCAP_Overall_Safety_Rating,Engine_Power,Top_Speed,Acceleration,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Battery_Capacity
Renault kadjar,https://www.donedeal.ie/cars-for-sale/renault-kadjar/38836266,Dynamique Nav,"102,000 km",1.5 L Diesel,Aug 2026,2016,Manual,3,Renault,Diesel,SUV,4,Medium Trim,5,Blue,180,Ireland,No,,"Verified Private Seller
5.0/5 (2)","Newcastle, Co. Dublin",Kadjar,"€9,000",1.5 L,4.45 m,,1.84 m,3.6 L/100 km,3.8 L/100 km,4.1 L/100 km,1.61 m,,,5/5,,,,81%,71%,89%,74%,
2014 OPEL CORSA 1.4 PETROL CLEAN NCT GALWAY,https://www.donedeal.ie/cars-for-sale/2014-opel-corsa-1-4-petrol-clean-nct-galway/39357451,Excite,"122,000 mi",1.4 L Petrol,Nov 2025,2014,Manual,1,Opel,Petrol,Hatchback,5,Medium Trim,5,Blue,280,Ireland,Unknown,,Independent Dealer,"Headford Road, Co. Galway",Corsa,"€5,950",1.4 L,4.02 m,,1.75 m,4.3 L/100 km,5.1 L/100 km,6.5 L/100 km,1.48 m,"1,120 L",,,,,,,,,,
BMW 5 series E60,https://www.donedeal.ie/cars-for-sale/bmw-5-series-e60/39357449,N,"201,000 mi",2.0 L Diesel,Jan 2025,2009,---,2,BMW,,,,,,,280,Ireland,UK,,"Private Seller
No rating yet","Ballyfermot, Co. Dublin",5-Series,"€1,234",,,,,,,,,,,,,,,,,,,
‘06 jetta,https://www.donedeal.ie/cars-for-sale/06-jetta/39357435,N,---,1.6 L Petrol,Dec 2022,2006,Manual,5,Volkswagen,,,,,,,514,Ireland,No,,"Private Seller
No rating yet","Balbriggan, Co. Dublin",Jetta,€650,,,,,,,,,,,,,,,,,,,
SEAT Leon SE | NI Reg | €3662 VRT,https://www.donedeal.ie/cars-for-sale/seat-leon-se-ni-reg-3662-vrt/39357432,SE,"56,801 mi",2.0 L Diesel,---,2021,Manual,3,SEAT,Diesel,Hatchback,5,---,5,White,190,Northern Ireland,,,Independent Dealer,"Banbridge, Co. Down",Leon,"€15,900",,,,,,,,,,,,,,,,,,,
Nissan March/ Micra 2021 Low Mileage/ Finance Ava,https://www.donedeal.ie/cars-for-sale/nissan-march-micra-2021-low-mileage-finance-ava/39018451,XE,"44,000 mi",1.2 L Petrol,Jan 2027,2021,Automatic,1,Nissan,Petrol,Hatchback,5,Base Trim,5,Pink,160,Ireland,Unknown country,,Independent Dealer,"Newcastle, Co. Dublin",March,"€13,999",1.2 L,4.00 m,41 L,1.74 m,,6.3 L/100 km,,1.46 m,"1,004 L",15 cm,,,,,,,,,
Ford Focus 2006,https://www.donedeal.ie/cars-for-sale/ford-focus-2006/39357402,N,"100,070 mi",1.8 L Ethanol Petrol,Dec 2024,2006,Manual,8,Ford,,,,,,,636,Ireland,No,,"Private Seller
No rating yet","Ballinagar, Co. Offaly",Focus,€349,,,,,,,,,,,,,,,,,,,
5 seat/ + wc Ford Galaxy WC adapted vehicle,https://www.donedeal.ie/cars-for-sale/5-seat-wc-ford-galaxy-wc-adapted-vehicle/39357387,---,---,2.0 L Diesel,---,2017,Manual,2,Ford,Diesel,---,5,---,5,Silver,,Ireland,Unknown,,"Private Seller
No rating yet","Castlebar, Co. Mayo",Galaxy,"€12,000",,,,,,,,,,,,,,,,,,,
Toyota C-HR 1.8 Hybrid Luna 5dr full Service Hist,https://www.donedeal.ie/cars-for-sale/toyota-c-hr-1-8-hybrid-luna-5dr-full-service-hist/39357384,Luna,"92,541 km",1.8 L Hybrid,Jul 2026,2020,Automatic,1,Toyota,Hybrid,SUV,4,Base Trim,5,Grey,180,Ireland,No,Co. Westmeath,"Franchise Dealer
4.5/5","Mullingar, Co. Westmeath",C-HR,"€23,450",1.8 L,4.39 m,43 L,1.80 m,4.2 L/100 km,3.8 L/100 km,3.2 L/100 km,1.56 m,"1,164 L",14 cm,5/5,,,,77%,78%,95%,76%,
Toyota Yaris 2014,https://www.donedeal.ie/cars-for-sale/toyota-yaris-2014/39357370,Terra,"128,000 km",1.0 L Petrol,Sep 2025,2014,Manual,4,Toyota,Petrol,Hatchback,4,Base Trim,5,White,200,Ireland,No,,"Private Seller
No rating yet","Cashel, Co. Tipperary",Yaris,"€6,000",1.0 L,3.95 m,,1.70 m,3.8 L/100 km,4.3 L/100 km,5.2 L/100 km,1.51 m,,,5/5,,,,81%,86%,89%,60%,
Audi Q5 2.0tfsie S Line 50 Quattro digital Dash t,https://www.donedeal.ie/cars-for-sale/audi-q5-2-0tfsie-s-line-50-quattro-digital-dash-t/39357337,S Line,"63,490 km",2.0 L Petrol Plug-in Hybrid,Mar 2027,2023,Automatic,1,Audi,Petrol Plug-in Hybrid,Estate,5,Luxury Trim,5,White,,Ireland,UK,Co. Dublin,Franchise Dealer,Co. Dublin,Q5,"€54,995",2.0 L,4.68 m,54 L,1.89 m,,,,,"1,405 L",,5/5,299 hp,239 km/h,6.1 sec,86%,58%,93%,73%,17.9 kWh
Audi Q5 2.0tfsie S Line 50 Quattro digital Dash t,https://www.donedeal.ie/cars-for-sale/audi-q5-2-0tfsie-s-line-50-quattro-digital-dash-t/39357336,S Line,"63,490 km",2.0 L Hybrid,Mar 2027,2023,Automatic,1,Audi,Hybrid,Estate,5,Luxury Trim,5,White,,Ireland,UK,Co. Dublin,Franchise Dealer,Co. Dublin,Q5,"€54,995",2.0 L,4.68 m,54 L,1.89 m,,,,,"1,405 L",,5/5,299 hp,239 km/h,6.1 sec,86%,58%,93%,73%,17.9 kWh
Volkswagen Golf TSI Comfortline new Nct digital D,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-tsi-comfortline-new-nct-digital-d/39357335,---,"48,057 km",1.2 L Petrol,Jun 2027,2018,Automatic,---,Volkswagen,Petrol,Hatchback,5,---,---,White,,,,Co. Dublin,Franchise Dealer,Co. Dublin,Golf,"€18,995",,,,,,,,,,,,,,,,,,,
Nissan Micra 1.2 Pearl 4DR 30,https://www.donedeal.ie/cars-for-sale/nissan-micra-1-2-pearl-4dr-30/39357302,-,"222,504 km",1.2 L Petrol,Sep 2025,2013,Manual,2,Nissan,Petrol,Hatchback,5,Base Trim,5,Blue,200,Ireland,No,Co. Kerry,"Independent Dealer
4.4/5","Lisselton, Co. Kerry",Micra,"€5,995",1.2 L,3.78 m,,1.68 m,4.3 L/100 km,5.0 L/100 km,6.1 L/100 km,1.53 m,,,,,,,,,,,
Volkswagen Golf MK 7.5 1.2 Dgs digital Dash touch,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-mk-7-5-1-2-dgs-digital-dash-touch/39357333,---,"79,492 km",1.2 L Petrol,---,2018,Automatic,---,Volkswagen,Petrol,Hatchback,5,---,---,Grey,,,,Co. Dublin,Franchise Dealer,Co. Dublin,Golf,"€18,995",,,,,,,,,,,,,,,,,,,
Vauxhall Astra 1.6 I Exclusive 5DR Auto 1 115PS,https://www.donedeal.ie/cars-for-sale/vauxhall-astra-1-6-i-exclusive-5dr-auto-1-115ps/39357300,---,"110,501 km",1.6 L Petrol,---,2012,Automatic,3,Vauxhall,Petrol,Hatchback,5,---,5,Red,600,Ireland,UK,Co. Kerry,"Independent Dealer
4.4/5","Lisselton, Co. Kerry",Astra,"€6,500",,,,,,,,,,,,,,,,,,,
Volkswagen Golf Semi Digital Dash dsg Gearbox tou,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-semi-digital-dash-dsg-gearbox-tou/39357332,---,"67,404 km",1.2 L Petrol,Apr 2026,2016,Automatic,---,Volkswagen,Petrol,Hatchback,5,---,---,Silver,,,,Co. Dublin,Franchise Dealer,Co. Dublin,Golf,"€14,995",,,,,,,,,,,,,,,,,,,
Nissan QASHQAI 1.5 SV My16 NC E6 4DR,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-5-sv-my16-nc-e6-4dr/39357326,SV,"231,999 km",1.5 L Diesel,Jun 2026,2016,Manual,3,Nissan,Diesel,MPV,4,Medium Trim,5,Grey,,Ireland,No,,Independent Dealer,"Rathcoole, Co. Dublin",Qashqai,"€7,950",1.5 L,4.38 m,,1.81 m,,,,1.59 m,"1,585 L",,5/5,,,,83%,79%,88%,69%,
Opel Corsa Excite 1.4 90ps 5DR,https://www.donedeal.ie/cars-for-sale/opel-corsa-excite-1-4-90ps-5dr/39357298,Excite,"135,492 km",1.4 L Petrol,Oct 2026,2015,Manual,2,Opel,Petrol,Hatchback,5,Medium Trim,5,Brown,200,Ireland,No,Co. Kerry,"Independent Dealer
4.4/5","Lisselton, Co. Kerry",Corsa,"€7,995",1.4 L,4.02 m,,1.75 m,4.3 L/100 km,5.1 L/100 km,6.5 L/100 km,1.48 m,"1,120 L",,4/5,,,,77%,56%,79%,71%,
Audi Q5 2.0 TDI Q S-tronic SE 4DR Auto/,https://www.donedeal.ie/cars-for-sale/audi-q5-2-0-tdi-q-s-tronic-se-4dr-auto-/39102171?campaign=3,SE,"145,508 km",2.0 L Diesel,Apr 2026,2018,Automatic,3,Audi,Diesel,Estate,4,Base Trim,5,Grey,,Ireland,No,Co. Dublin,Independent Dealer,"Walkinstown, Co. Dublin",Q5,"€29,900",2.0 L,4.66 m,65 L,1.89 m,,,,1.66 m,"1,550 L",21 cm,5/5,,,,86%,58%,93%,73%,
SEAT Alhambra 2.0 TDI Ecomotive S ez 150 5dr,https://www.donedeal.ie/cars-for-sale/seat-alhambra-2-0-tdi-ecomotive-s-ez-150-5dr/39429144?campaign=3,---,"35,272 mi",2.0 L Diesel,---,2019,Manual,---,SEAT,Diesel,---,5,---,7,Silver,280,UK,,,Franchise Dealer,"Dungannon, Co. Tyrone",Alhambra,"£16,950",,,,,,,,,,,,,,,,,,,
Audi Q5 50 Tfsi e 299HP S Tronic Quattro S Line,https://www.donedeal.ie/cars-for-sale/audi-q5-50-tfsi-e-299hp-s-tronic-quattro-s-line/39469860?campaign=3,S Line,"41,739 km",2.0 L Petrol Plug-in Hybrid,Jan 2027,2023,Automatic,1,Audi,Petrol Plug-in Hybrid,SUV,4,Luxury Trim,5,Blue,140,Ireland,No,,Franchise Dealer,Co. Wexford,Q5,"€57,375",2.0 L,4.68 m,54 L,1.89 m,,1.6 L/100 km,,,"1,405 L",,5/5,299 hp,239 km/h,6.1 sec,86%,58%,93%,73%,17.9 kWh
Peugeot 308 B6 Active 1.5 Blue HDI 100 6.2,https://www.donedeal.ie/cars-for-sale/peugeot-308-b6-active-1-5-blue-hdi-100-6-2/39357317,Active,"68,852 km",1.5 L Diesel,Feb 2026,2020,Manual,1,Peugeot,Diesel,Hatchback,4,Medium Trim,5,Grey,,Ireland,No,Co. Offaly,Franchise Dealer,"Cloghan, Co. Offaly",308,"€18,495",1.5 L,4.25 m,53 L,1.80 m,,,,1.46 m,"1,228 L",11 cm,,,,,,,,,
BMW X5 2015 Xdrive 7seater Automatic 2.0d 218 BHP,https://www.donedeal.ie/cars-for-sale/bmw-x5-2015-xdrive-7seater-automatic-2-0d-218-bhp/39357318,SE,"151,326 mi",2.0 L Diesel,May 2026,2015,Automatic,1,BMW,Diesel,SUV,5,Base Trim,7,Black,,Ireland,UK,,Independent Dealer,"Kilkenny, Co. Kilkenny",X5,"€22,995",2.0 L,4.89 m,75 L,1.94 m,,,,1.76 m,"1,870 L",21 cm,,,,,,,,,
Ford Focus 2014MY Zetec 1.6 Tdci 95ps 4DR,https://www.donedeal.ie/cars-for-sale/ford-focus-2014my-zetec-1-6-tdci-95ps-4dr/39357281,ZETEC,"193,430 km",1.6 L Diesel,Aug 2025,2014,Manual,2,Ford,Diesel,Hatchback,4,Sports Trim,5,Blue,190,Ireland,No,,Franchise Dealer,"Midleton, Co. Cork",Focus,"€10,950",1.6 L,4.36 m,,1.82 m,3.7 L/100 km,4.2 L/100 km,5.1 L/100 km,1.48 m,"1,101 L",,5/5,,,,82%,71%,92%,72%,
Volkswagen Tiguan 2.0 TDI Bluemotion Tech SEL SUV,https://www.donedeal.ie/cars-for-sale/volkswagen-tiguan-2-0-tdi-bluemotion-tech-sel-suv/39357306,---,"106,887 mi",2.0 L Diesel,---,2017,Automatic,2,Volkswagen,Diesel,Estate,5,---,5,Black,,UK,,,Independent Dealer,"Pettigo, Co. Donegal",Tiguan,"€22,700",,,,,,,,,,,,,,,,,,,
Nissan X-Trail 1.7 DSL SV Premium 7 S Seat retai,https://www.donedeal.ie/cars-for-sale/nissan-x-trail-1-7-dsl-sv-premium-7-s-seat-retai/39357296,SV Premium,"151,000 km",1.7 L Diesel,Jul 2025,2019,Manual,1,Nissan,Diesel,MPV,4,Medium Trim,7,Blue,280,Ireland,No,Co. Louth,Franchise Dealer,"Drogheda, Co. Louth",X-Trail,"€22,950",1.7 L,4.64 m,60 L,1.82 m,,6.7 L/100 km,,1.74 m,"1,996 L",21 cm,5/5,,,,83%,75%,86%,75%,
Citroen Grand C4 Picasso GRD Blue HDI 120 S S Exc,https://www.donedeal.ie/cars-for-sale/citroen-grand-c4-picasso-grd-blue-hdi-120-s-s-exc/39357297,Exclusive,"169,071 km",1.6 L Diesel,Jul 2026,2016,Manual,1,Citroen,Diesel,MPV,5,Luxury Trim,7,Silver,190,Ireland,No,Co. Kerry,"Independent Dealer
4.4/5","Lisselton, Co. Kerry",Grand C4 Picasso,"€11,450",1.6 L,4.33 m,,1.79 m,3.9 L/100 km,4.6 L/100 km,5.8 L/100 km,1.50 m,"1,183 L",,5/5,,,,85%,97%,90%,43%,
Skoda Kodiaq 7 Seat Sport 2.0 TDI 150HP D DSG 4DR,https://www.donedeal.ie/cars-for-sale/skoda-kodiaq-7-seat-sport-2-0-tdi-150hp-d-dsg-4dr/39357294,SportLine,"97,000 km",2.0 L Diesel,Aug 2025,2019,Automatic,2,Skoda,Diesel,Estate,4,Sports Trim,7,Grey,,Ireland,No,Co. Waterford,Independent Dealer,Co. Waterford,Kodiaq,"€36,950",2.0 L,4.70 m,58 L,1.88 m,,,,1.68 m,"2,065 L",19 cm,5/5,,,,77%,54%,92%,71%,
Toyota Rav4 Rav4 Hybrid Luna,https://www.donedeal.ie/cars-for-sale/toyota-rav4-rav4-hybrid-luna/39357293,Luna,"51,111 km",2.5 L Petrol Hybrid,Jan 2026,2020,Automatic,2,Toyota,Petrol Hybrid,SUV,4,Medium Trim,5,Grey,,Ireland,No,Co. Meath,Independent Dealer,Co. Meath,RAV4,"€32,950",2.5 L,4.60 m,55 L,1.86 m,,,,1.69 m,"1,690 L",19 cm,5/5,,,,87%,77%,93%,85%,
Volvo XC40 Great Spec recharge T4 R-design sat Na,https://www.donedeal.ie/cars-for-sale/volvo-xc40-great-spec-recharge-t4-r-design-sat-na/39357285,---,"116,411 mi",1.5 L Hybrid,---,2021,Automatic,1,Volvo,Hybrid,Estate,5,---,5,Black,,UK,,Co. Dublin,Independent Dealer,"Dun Laoghaire, Co. Dublin",XC40,"€24,999",,,,,,,,,,,,,,,,,,,
"2011 Honda Jazz (Fit), low mileage, very clean car, one owner",https://www.donedeal.ie/cars-for-sale/2011-honda-jazz-fit-low-mileage-very-clean-car-one-owner/39357268,---,"72,000 km",1.3 L Petrol,Aug 2025,2011,---,1,Honda,Petrol,Hatchback,---,---,5,Blue,200,Ireland,Unknown country,,"Private Seller
No rating yet",Co. Dublin,Fit,"€5,500",,,,,,,,,,,,,,,,,,,
Toyota Urban Cruiser,https://www.donedeal.ie/cars-for-sale/toyota-urban-cruiser/39357238,N,"189,401 km",1.4 L Diesel,Jun 2025,2010,---,5,Toyota,,,,,,,270,Ireland,No,,"Verified Private Seller
5.0/5 (1)","Bonniconlon, Co. Mayo",Urban Cruiser,"€3,995",,,,,,,,,,,,,,,,,,,
Volkswagen Polo 2005,https://www.donedeal.ie/cars-for-sale/volkswagen-polo-2005/39249652,N,"200,920 km",1.4 L Petrol,Nov 2025,2005,Automatic,12,Volkswagen,,,,,,,385,Ireland,No,,"Private Seller
No rating yet","Dublin 14, Co. Dublin",Polo,"€1,400",,,,,,,,,,,,,,,,,,,
Car,https://www.donedeal.ie/cars-for-sale/car/39357202,Comfort Plus,"158,000 km",1.7 L Diesel,Jan 2026,2018,Manual,4,Hyundai,Diesel,SUV,5,Medium Trim,5,Blue,200,Ireland,No,,"Private Seller
No rating yet","Mullingar, Co. Westmeath",Tucson,"€16,000",1.7 L,4.48 m,,1.85 m,4.0 L/100 km,4.4 L/100 km,5.1 L/100 km,1.65 m,,,5/5,,,,85%,71%,86%,71%,
Nissan QASHQAI 1.6 SV Premium 17,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-6-sv-premium-17/39356884,---,"152,771 km",1.6 L Diesel,Jun 2025,2017,Manual,3,Nissan,Diesel,MPV,4,---,---,Grey,,,,Co. Kildare,Independent Dealer,"Naas, Co. Kildare",Qashqai,No Price,,,,,,,,,,,,,,,,,,,
*** RESERVED *212 545 XDRIVE M SPORT ( HUGH SPEC ),https://www.donedeal.ie/cars-for-sale/reserved-212-545-xdrive-m-sport-hugh-spec/39357188,M Sport,"23,000 mi",3.0 L Petrol Plug-in Hybrid,---,2021,Automatic,1,BMW,Petrol Plug-in Hybrid,Saloon,4,Sports Trim,5,Grey,140,UK,,Co. Dublin,Independent Dealer,Co. Dublin,5-Series,"€64,995",3.0 L,4.96 m,,1.87 m,,8.4 L/100 km,,1.48 m,410 L,15 cm,5/5,,,,,,,,
Volkswagen Touareg 3.0 TDI V6 Black Edition SUV 5,https://www.donedeal.ie/cars-for-sale/volkswagen-touareg-3-0-tdi-v6-black-edition-suv-5/39356929,---,"26,500 mi",3.0 L Diesel,---,2022,Automatic,1,Volkswagen,Diesel,Estate,5,---,5,White,,UK,,,Independent Dealer,"Pettigo, Co. Donegal",Touareg,"€93,850",,,,,,,,,,,,,,,,,,,
DS Automobiles DS 3 Crossback E-tense Prestige 5D,https://www.donedeal.ie/cars-for-sale/ds-automobiles-ds-3-crossback-e-tense-prestige-5d/39356866,Bastille+,11 km,402 km (WLTP) Electric,---,2023,Automatic,1,DS Automobiles,Electric,Estate,5,Base Trim,5,Blue,120,Ireland,No,Co. Dublin,Franchise Dealer,"Dublin 15, Co. Dublin",DS 3 Crossback,"€25,950",,4.12 m,,1.79 m,0.0 L/100 km,0.0 L/100 km,0.0 L/100 km,,,,,156 hp,,,,,,,
Opel Grandland Elite 1.5 D-turbo 130PS Automatic,https://www.donedeal.ie/cars-for-sale/opel-grandland-elite-1-5-d-turbo-130ps-automatic/39357092,Elite,"53,000 km",1.5 L Diesel,Apr 2026,2022,Automatic,1,Opel,Diesel,SUV,4,Luxury Trim,5,Blue,,Ireland,No,Co. Donegal,Independent Dealer,Co. Donegal,Grandland,No Price,1.5 L,4.48 m,,1.86 m,,,,,,,5/5,,,,87%,60%,84%,63%,
SEAT Ateca 2.0 TDI FR Sport SUV 5dr Diesel Manual,https://www.donedeal.ie/cars-for-sale/seat-ateca-2-0-tdi-fr-sport-suv-5dr-diesel-manual/39356927,---,"69,500 mi",2.0 L Diesel,---,2022,Manual,1,SEAT,Diesel,Hatchback,5,---,5,Black,,UK,,,Independent Dealer,"Pettigo, Co. Donegal",Ateca,"€31,450",,,,,,,,,,,,,,,,,,,
Renault Captur Dynamique NAV TCE 90 P 4DR,https://www.donedeal.ie/cars-for-sale/renault-captur-dynamique-nav-tce-90-p-4dr/39357090,DYNAMIQUE NAV,"65,799 km",1.0 L Petrol,Jan 2026,2018,Manual,2,Renault,Petrol,Hatchback,4,Medium Trim,5,Grey,200,Ireland,No,Co. Donegal,Independent Dealer,Co. Donegal,Captur,No Price,1.0 L,4.12 m,45 L,1.78 m,4.5 L/100 km,5.1 L/100 km,6.0 L/100 km,1.57 m,"1,235 L",17 cm,5/5,,,,79%,81%,88%,61%,
DS Automobiles DS 4 Perfomance Line E-tense 22,https://www.donedeal.ie/cars-for-sale/ds-automobiles-ds-4-perfomance-line-e-tense-22/39356862,Performance Line,"18,042 km",1.6 L Petrol Plug-in Hybrid,Jan 2028,2024,Automatic,1,DS Automobiles,Petrol Plug-in Hybrid,Estate,4,Medium Trim,5,Red,140,Ireland,No,Co. Dublin,Franchise Dealer,"Dublin 15, Co. Dublin",DS 4,"€39,950",1.6 L,4.40 m,40 L,2.06 m,,1.2 L/100 km,,,"1,190 L",,4/5,,,,86%,65%,85%,74%,13.2 kWh
Ford Focus Titanium1.0t 125 Mhev DC DC7 4DR,https://www.donedeal.ie/cars-for-sale/ford-focus-titanium1-0t-125-mhev-dc-dc7-4dr/39356861,---,"5,921 km",1.0 L Petrol,Mar 2027,2023,Automatic,1,Ford,Petrol,Hatchback,4,---,---,Red,,,,Co. Dublin,Franchise Dealer,"Dublin 15, Co. Dublin",Focus,"€28,950",,,,,,,,,,,,,,,,,,,
2009 BMW 1-Series 123d M Sport,https://www.donedeal.ie/cars-for-sale/2009-bmw-1-series-123d-m-sport/39357144,N,"136,000 mi",2.0 L Diesel,Sep 2025,2009,---,2,BMW,,,,,,,280,Ireland,UK,,"Private Seller
No rating yet","North County, Co. Dublin",1-Series,"€4,800",,,,,,,,,,,,,,,,,,,
🆕️2013 Mini COOPER 1.6 Petrol🆕️,https://www.donedeal.ie/cars-for-sale/2013-mini-cooper-1-6-petrol/35065542,COOPER,"55,192 mi",1.6 L Petrol,Aug 2025,2013,Manual,1,Mini,Petrol,Hatchback,3,Sports Trim,4,Red,200,Ireland,Unknown country,Co. Dublin,Independent Dealer,Co. Dublin,Cooper,"€8,450",1.6 L,3.72 m,40 L,1.68 m,4.6 L/100 km,5.4 L/100 km,6.9 L/100 km,1.41 m,680 L,14 cm,,,,,,,,,
🆕️2016 Land Rover Evoque 2.0D Pure🆕️,https://www.donedeal.ie/cars-for-sale/2016-land-rover-evoque-2-0d-pure/34178991,---,"87,202 km",2.0 L Diesel,Nov 2026,2016,Manual,2,Land Rover,Diesel,Estate/Jeep,5,---,5,Black,200,Ireland,No,Co. Dublin,Independent Dealer,Co. Dublin,Range Rover Evoque,"€18,950",,,,,,,,,,,,,,,,,,,
🆕️2017 Renault Scenic DYNAMIQUE S NAV🆕️,https://www.donedeal.ie/cars-for-sale/2017-renault-scenic-dynamique-s-nav/38113106,DYNAMIQUE S NAV,"113,860 km",1.5 L Diesel,Mar 2027,2017,Manual,2,Renault,Diesel,MPV,4,Medium Trim,5,Brown,180,Ireland,No,Co. Dublin,Independent Dealer,Co. Dublin,Scenic,"€13,950",1.5 L,4.41 m,,1.87 m,3.7 L/100 km,3.9 L/100 km,4.2 L/100 km,1.65 m,,,,,,,,,,,
Toyota Prius 1.8 Hybrid / 75k KMs / Reverse Camer,https://www.donedeal.ie/cars-for-sale/toyota-prius-1-8-hybrid-75k-kms-reverse-camer/39357111,---,"75,000 km",1.8 L Hybrid,Mar 2027,2019,Automatic,---,Toyota,Hybrid,Saloon,4,---,---,Grey,,Ireland,No,Co. Dublin,Independent Dealer,"Lusk, Co. Dublin",Prius,"€19,950",,,,,,,,,,,,,,,,,,,
Audi A4 2.0 TDI 35 Sport Edition Saloon 4dr Diese,https://www.donedeal.ie/cars-for-sale/audi-a4-2-0-tdi-35-sport-edition-saloon-4dr-diese/39356923,---,"58,500 mi",2.0 L Diesel,---,2022,Automatic,1,Audi,Diesel,Saloon,4,---,5,Black,,UK,,,Independent Dealer,"Pettigo, Co. Donegal",A4,"€34,950",,,,,,,,,,,,,,,,,,,
Opel GRANDLAND X Elite-1.5 Turbo D 130PS,https://www.donedeal.ie/cars-for-sale/opel-grandland-x-elite-1-5-turbo-d-130ps/39357087,Elite,"29,113 km",1.5 L Diesel,Nov 2025,2021,Manual,1,Opel,Diesel,SUV,4,Medium Trim,5,Black,,Ireland,No,Co. Donegal,Independent Dealer,Co. Donegal,Grandland X,No Price,1.5 L,4.48 m,53 L,1.86 m,,,,1.61 m,"1,652 L",19 cm,5/5,,,,87%,60%,84%,63%,
Toyota Prius S Touring Selection / 97k KMs / Heat,https://www.donedeal.ie/cars-for-sale/toyota-prius-s-touring-selection-97k-kms-heat/39357109,---,"97,000 km",1.8 L Hybrid,Mar 2027,2019,Automatic,---,Toyota,Hybrid,Saloon,4,---,---,Blue,,Ireland,No,Co. Dublin,Independent Dealer,"Lusk, Co. Dublin",Prius,"€18,950",,,,,,,,,,,,,,,,,,,
Hyundai Tucson Executive 2WD 5DR,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-executive-2wd-5dr/37507890?campaign=3,Executive,"58,600 km",1.6 L Diesel,Jul 2025,2021,Manual,1,Hyundai,Diesel,SUV,5,Medium Trim,5,Grey,210,Ireland,No,Co. Cork,"Franchise Dealer
4.8/5",Co. Cork,Tucson,"€34,497",1.6 L,4.48 m,55 L,1.85 m,,5.3 L/100 km,,1.66 m,"1,503 L",17 cm,,,,,,,,,
Toyota Auris,https://www.donedeal.ie/cars-for-sale/toyota-auris/39490285?campaign=3,N,"257,565 km",1.4 L Petrol,Sep 2024,2008,Manual,8,Toyota,,,,,,,,Ireland,No,,"Private Seller
No rating yet","Letterkenny, Co. Donegal",Auris,"€1,550",,,,,,,,,,,,,,,,,,,
Renault Arkana E-tech Engineered Hybrid 145 Auto,https://www.donedeal.ie/cars-for-sale/renault-arkana-e-tech-engineered-hybrid-145-auto/39355051?campaign=3,evolution,"32,071 km",1.6 L Petrol Hybrid,Sep 2027,2023,Automatic,1,Renault,Petrol Hybrid,Hatchback,5,Base Trim,5,Red,180,Ireland,No,Co. Kildare,"Franchise Dealer
4.6/5","Naas, Co. Kildare",Arkana,"€32,949",1.6 L,4.57 m,,1.82 m,,4.7 L/100 km,,,,,,145 hp,172 km/h,10.8 sec,,,,,1.2 kWh
Audi A6 2.0 TDI 40 S Line Saloon 4dr Diesel S Tro,https://www.donedeal.ie/cars-for-sale/audi-a6-2-0-tdi-40-s-line-saloon-4dr-diesel-s-tro/39356922,---,"35,500 mi",2.0 L Diesel,---,2022,Automatic,1,Audi,Diesel,Saloon,4,---,5,Black,,UK,,,Independent Dealer,"Pettigo, Co. Donegal",A6,"€46,400",,,,,,,,,,,,,,,,,,,
BMW 320D M-Sport Plus 2015,https://www.donedeal.ie/cars-for-sale/bmw-320d-m-sport-plus-2015/39357085,M Sport,"221,000 km",2.0 L Diesel,Oct 2025,2015,Automatic,2,BMW,Diesel,Saloon,4,Medium Trim,5,Black,270,Ireland,UK,,"Private Seller
No rating yet","Carrick-on-Shannon, Co. Leitrim",3-Series,"€15,000",2.0 L,4.62 m,,1.81 m,4.1 L/100 km,4.6 L/100 km,5.4 L/100 km,1.43 m,480 L,14 cm,5/5,,,,84%,86%,95%,78%,
Audi Q3 TDI *Leather *PanRoof,https://www.donedeal.ie/cars-for-sale/audi-q3-tdi-leather-panroof/39357040,SE,"96,000 mi",2.0 L Diesel,Jan 2026,2014,Manual,2,Audi,Diesel,SUV,4,Base Trim,5,Grey,280,Ireland,No,,Independent Dealer,"Sligo, Co. Sligo",Q3,"€12,950",2.0 L,4.39 m,,1.83 m,4.7 L/100 km,5.2 L/100 km,6.2 L/100 km,1.61 m,,,5/5,,,,,,,,
