name,url,Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,Engine_Size,External_Length,External_Height,External_Width,Euro_NCAP_Overall_Safety_Rating,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Current_Country_Of_Reg,Imported,Independant_Dealer,Dublin2,Model,Price,Boot_Volume,Ground_Clearance,County,Fuel_Tank_Capacity,Engine_Power,Top_Speed,Battery_Capacity,Acceleration,section
Hyundai Tucson 2016 Executive,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-2016-executive/39229367?campaign=3,Executive,"128,000 mi",1.7 L Diesel,Jun 2026,2016,Manual,2,Hyundai,Diesel,SUV,5,Medium Trim,5,Black,200,4.0 L/100 km,4.4 L/100 km,5.1 L/100 km,1.7 L,4.48 m,1.65 m,1.85 m,5/5,85%,71%,86%,71%,Ireland,No,"Private Seller
No rating yet","Ardara, Co. Donegal",Tucson,"€10,500",,,,,,,,,selection1
Audi Q5 40 TDI Quattro S Line 5dr S Tronic,https://www.donedeal.ie/cars-for-sale/audi-q5-40-tdi-quattro-s-line-5dr-s-tronic/39429224?campaign=3,---,"45,139 mi",2.0 L Diesel,---,2021,Automatic,---,Audi,Diesel,---,---,---,5,White,,,,,,,,,,,,,,UK,,Franchise Dealer,"Dungannon, Co. Tyrone",Q5,"£27,740",,,,,,,,,selection1
Volkswagen Passat 2013 - New NCT,https://www.donedeal.ie/cars-for-sale/volkswagen-passat-2013-new-nct/39246872?campaign=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,selection1
2018 AUDI A6 DIESEL SALOON 2.0 TDI ULTRA S- LINE,https://www.donedeal.ie/cars-for-sale/2018-audi-a6-diesel-saloon-2-0-tdi-ultra-s-line/39288229,S Line,"81,300 mi",2.0 L Diesel,Jun 2026,2018,Manual,1,Audi,Diesel,Saloon,4,Sports Trim,5,Grey,200,3.9 L/100 km,4.4 L/100 km,5.2 L/100 km,2.0 L,4.93 m,1.46 m,1.87 m,5/5,83%,86%,91%,41%,Ireland,UK,"Verified Trader
No rating yet","Derry City, Co. Derry",A6,"€22,500",,,,,,,,,selection1
Mercedes-Benz E-Class E220 D Coupe AMG Sport,https://www.donedeal.ie/cars-for-sale/mercedes-benz-e-class-e220-d-coupe-amg-sport/39476148,AMG SPORT,"137,000 km",2.0 L Diesel,Apr 2026,2018,Automatic,4,Mercedes-Benz,Diesel,Coupe,2,Sports Trim,4,Blue,200,3.7 L/100 km,4.0 L/100 km,4.5 L/100 km,2.0 L,4.83 m,1.43 m,1.86 m,5/5,90%,62%,95%,77%,Ireland,No,Independent Dealer,"Nenagh, Co. Tipperary",E-Class,"€28,950",425 L,10 cm,Co. Tipperary,,,,,,selection1
Audi Q5 2013 S line,https://www.donedeal.ie/cars-for-sale/audi-q5-2013-s-line/39341197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,selection1
"Suzuki Swift 2017, Auto, Incredibly Low Mileage",https://www.donedeal.ie/cars-for-sale/suzuki-swift-2017-auto-incredibly-low-mileage/39451421,SZ5,"27,654 km",1.2 L Petrol Hybrid,Oct 2025,2017,Automatic,3,Suzuki,Petrol Hybrid,Hatchback,5,Luxury Trim,5,Black,200,4.2 L/100 km,4.5 L/100 km,4.9 L/100 km,1.2 L,3.84 m,1.50 m,1.74 m,3/5,75%,25%,83%,69%,Ireland,Unknown country,"Private Seller
No rating yet","Greystones, Co. Wicklow",Swift,"€11,000",265 L,12 cm,,,,,,,selection1
Skoda Elroq 85,https://www.donedeal.ie/cars-for-sale/skoda-elroq-85/39396276,---,0 km,Electric,---,2025,Automatic,---,,Electric,SUV,---,---,---,Green,,,,,,,,,,,,,,,,"Franchise Dealer
4.7/5",Co. Kilkenny,Elroq,"€51,129",,,Co. Kilkenny,,,,,,selection1
Peugeot 3008 1.5 Bluehdi 130bhp Auto 6.4 GT,https://www.donedeal.ie/cars-for-sale/peugeot-3008-1-5-bluehdi-130bhp-auto-6-4-gt/38873179,GT,"19,448 km",1.5 L Diesel,Jan 2028,2024,Automatic,1,Peugeot,Diesel,MPV,4,Luxury Trim,5,Grey,270,,5.3 L/100 km,,1.5 L,4.45 m,,1.84 m,5/5,85%,58%,86%,67%,Ireland,No,"Franchise Dealer
4.5/5",Co. Dublin,3008,"€40,995",,,Co. Dublin,,,,,,selection1
Toyota Yaris 1.0 Luna 4DR,https://www.donedeal.ie/cars-for-sale/toyota-yaris-1-0-luna-4dr/39457553,Luna,"80,000 km",1.0 L Petrol,Jun 2026,2016,Manual,2,Toyota,Petrol,Hatchback,4,Medium Trim,5,Blue,180,3.8 L/100 km,4.3 L/100 km,5.2 L/100 km,1.0 L,3.95 m,1.51 m,1.70 m,5/5,81%,86%,89%,60%,Ireland,No,Franchise Dealer,"Macroom, Co. Cork",Yaris,"€13,000",768 L,14 cm,Co. Cork,42 L,,,,,selection1
2007 Holden Commodore GTS HSV LS2 V8 6.0,https://www.donedeal.ie/cars-for-sale/2007-holden-commodore-gts-hsv-ls2-v8-6-0/39484904,N,"132,000 km",6.0 L Petrol,Nov 2025,2007,---,5,Other,,,,,,,1809,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet","Galway City, Co. Galway",Other,"€22,500",,,,,,,,,selection1
Volkswagen Polo Lovely Spec R-line Polo With Allo,https://www.donedeal.ie/cars-for-sale/volkswagen-polo-lovely-spec-r-line-polo-with-allo/37893368,R-Line,"20,800 km",1.0 L Petrol,Jul 2026,2022,Manual,2,Volkswagen,Petrol,Hatchback,5,Sports Trim,5,White,190,,5.2 L/100 km,,1.0 L,4.07 m,,1.75 m,5/5,85%,59%,96%,76%,Ireland,No,"Franchise Dealer
4.6/5",Co. Galway,Polo,"€24,945","1,125 L",,Co. Galway,40 L,,,,,selection1
Hyundai Santa Fe Premium AWD Phev 5DR Auto 7 Seat,https://www.donedeal.ie/cars-for-sale/hyundai-santa-fe-premium-awd-phev-5dr-auto-7-seat/38854679,Premium,"18,461 km",1.6 L Petrol Plug-in Hybrid,Aug 2027,2023,Automatic,1,Hyundai,Petrol Plug-in Hybrid,SUV,5,Medium Trim,7,Grey,,,,,1.6 L,4.79 m,1.71 m,1.90 m,5/5,88%,76%,94%,67%,Ireland,No,Franchise Dealer,Co. Kerry,Santa Fe,"€57,950","1,695 L",18 cm,Co. Kerry,47 L,265 hp,187 km/h,13.8 kWh,8.8 sec,selection1
Hyundai IONIQ premium 100kW 38kWh2022,https://www.donedeal.ie/cars-for-sale/hyundai-ioniq-premium-100kw-38kwh2022/39364561,---,"66,000 mi",Electric,---,2022,Automatic,1,Hyundai,Electric,Hatchback,5,---,5,Grey,,,,,,,,,,,,,,Northern Ireland,,Independent Dealer,"Coleraine, Co. Derry",IONIQ,"£11,250",,,Co. Derry,,,,,,selection1
Skoda octavia 1.6tdi 2Years fresh NCT,https://www.donedeal.ie/cars-for-sale/skoda-octavia-1-6tdi-2years-fresh-nct/39451411,Ambition,"320,000 km",1.6 L Diesel,Mar 2027,2016,Manual,3,Skoda,Diesel,Saloon,4,Medium Trim,5,Silver,180,3.5 L/100 km,4.1 L/100 km,5.2 L/100 km,1.6 L,4.66 m,1.46 m,1.81 m,,,,,,Ireland,No,"Private Seller
No rating yet","North County, Co. Dublin",Octavia,"€6,250",,,,,,,,,selection1
Car,https://www.donedeal.ie/cars-for-sale/car/39374878,Luna,"105,000 km",1.6 L Diesel,Mar 2027,2017,Manual,2,Toyota,Diesel,Saloon,4,Medium Trim,5,Grey,190,3.6 L/100 km,4.2 L/100 km,5.1 L/100 km,1.6 L,4.75 m,1.48 m,1.81 m,,,,,,Ireland,No,"Private Seller
No rating yet","Ballina, Co. Mayo",Avensis,"€13,100",,,,60 L,,,,,selection1
Toyota yaris luna 1.0 NCT till 02/2026,https://www.donedeal.ie/cars-for-sale/toyota-yaris-luna-1-0-nct-till-02-2026/39401479,N,"153,000 km",1.0 L Petrol,Jan 2025,2006,Manual,3,Toyota,,,,,,,199,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet",Co. Dublin,Yaris,"€1,995",,,,,,,,,selection1
Nissan Micra 2021,https://www.donedeal.ie/cars-for-sale/nissan-micra-2021/39095668,SV,"12,716 km",1.0 L Petrol,May 2027,2021,Manual,2,Nissan,Petrol,Hatchback,4,Medium Trim,5,Red,200,,5.5 L/100 km,,1.0 L,4.00 m,1.46 m,1.74 m,4/5,79%,49%,91%,68%,Ireland,No,"Private Seller
No rating yet","Kilmallock, Co. Limerick",Micra,"€17,500",,,,,,,,,selection1
"Audi A6 S-line auto, high spec !!!",https://www.donedeal.ie/cars-for-sale/audi-a6-s-line-auto-high-spec/39395440,S LINE,"174,688 mi",2.0 L Diesel,Jun 2025,2012,Automatic,2,Audi,Diesel,Saloon,4,Sports Trim,5,Black,280,4.4 L/100 km,5.0 L/100 km,6.0 L/100 km,2.0 L,4.92 m,1.45 m,1.87 m,,,,,,Ireland,UK,"Private Seller
No rating yet","Swords, Co. Dublin",A6,"€9,150",,,,,,,,,selection1
Toyota Aqua 1.5 Petrol Hybrid - Automatic,https://www.donedeal.ie/cars-for-sale/toyota-aqua-1-5-petrol-hybrid-automatic/39254760,-,"137,742 km",1.5 L Petrol Hybrid,Dec 2025,2016,Automatic,3,Toyota,Petrol Hybrid,Hatchback,5,Base Trim,5,Silver,170,3.7 L/100 km,3.9 L/100 km,3.9 L/100 km,1.5 L,4.48 m,1.49 m,1.75 m,5/5,82%,86%,88%,68%,Ireland,Unknown country,"Private Seller
No rating yet","Tullamore, Co. Offaly",Aqua,"€7,999","1,120 L",,,,,,,,selection1
Mercedes-Continental Hearse by Coleman Milne 2020,https://www.donedeal.ie/cars-for-sale/mercedes-continental-hearse-by-coleman-milne-2020/39395432,---,"52,000 km",2.0 L Diesel,Feb 2026,2020,Automatic,1,Mercedes-Benz,Diesel,Hearse,---,---,4,Black,,,,,,,,,,,,,,Ireland,UK,"Private Seller
No rating yet","Louth, Co. Louth",E-Class,"€97,000",,,,,,,,,selection1
2010 hyundai i10,https://www.donedeal.ie/cars-for-sale/2010-hyundai-i10/39451368,N,"156,377 km",1.2 L Petrol,Jan 2026,2010,Manual,4,Hyundai,,,,,,,200,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet","Enniscorthy, Co. Wexford",i10,"€2,500",,,,,,,,,selection1
BMW X6 3.0 X6 Xdrive 30d M Sport Edition Auto 4WD,https://www.donedeal.ie/cars-for-sale/bmw-x6-3-0-x6-xdrive-30d-m-sport-edition-auto-4wd/39503656,---,"57,222 mi",3.0 L Diesel,---,2018,Automatic,2,BMW,Diesel,---,5,---,5,White,790,,,,,,,,,,,,,Other,,Independent Dealer,Co. Derry,X6,"£26,495",,,,,,,,,selection1
Audi A4 S LINE Black Edition 163bhp,https://www.donedeal.ie/cars-for-sale/audi-a4-s-line-black-edition-163bhp/38948782,S Line,"63,805 km",2.0 L Diesel,Feb 2026,2022,Automatic,2,Audi,Diesel,Saloon,4,Sports Trim,5,Black,210,,5.3 L/100 km,,2.0 L,4.76 m,,1.85 m,,,,,,Ireland,No,"Private Seller
No rating yet","Charlestown, Co. Mayo",A4,"€40,995",,,,,,,,,selection1
BMW Z4 convertible,https://www.donedeal.ie/cars-for-sale/bmw-z4-convertible/37887444,N,"65,000 mi",2.5 L Petrol,Nov 2024,2003,---,8,BMW,,,,,,,1080,,,,,,,,,,,,,Ireland,N. Ireland,"Private Seller
No rating yet",Co. Kerry,Z4,"€8,000",,,,,,,,,selection1
Volkswagen Polo 2008,https://www.donedeal.ie/cars-for-sale/volkswagen-polo-2008/39495282,N,"111,000 km",1.2 L Petrol,Nov 2025,2008,Manual,4,Volkswagen,,,,,,,280,,,,,,,,,,,,,Ireland,No,"Verified Private Seller
No rating yet","North City, Co. Dublin",Polo,"€2,850",,,,,,,,,selection1
Audi A1 Automatic petrol,https://www.donedeal.ie/cars-for-sale/audi-a1-automatic-petrol/39503631,-,"170,000 km",1.4 L Petrol,Nov 2025,2014,Automatic,2,Audi,Petrol,Hatchback,5,Base Trim,5,Black,270,4.6 L/100 km,5.3 L/100 km,6.5 L/100 km,1.4 L,3.95 m,1.42 m,1.75 m,,,,,,Ireland,Unknown country,Independent Dealer,"Dungarvan, Co. Waterford",A1,"€10,995",920 L,,Co. Waterford,,,,,,selection1
2018 Volkswagen Passat,https://www.donedeal.ie/cars-for-sale/2018-volkswagen-passat/39503626,Trendline,"155,000 km",1.6 L Diesel,Jan 2024,2018,Manual,2,Volkswagen,Diesel,Saloon,4,Base Trim,5,Grey,190,3.6 L/100 km,4.0 L/100 km,4.7 L/100 km,1.6 L,4.77 m,1.48 m,1.83 m,,,,,,Ireland,No,Independent Dealer,"Dungarvan, Co. Waterford",Passat,"€14,995",,,Co. Waterford,,,,,,selection1
12 Opel Insignia Estate 2.0CDTI 160BHP New NCT,https://www.donedeal.ie/cars-for-sale/12-opel-insignia-estate-2-0cdti-160bhp-new-nct/39481179,---,"190,000 mi",2.0 L Diesel,Nov 2025,2012,---,5,Vauxhall,Diesel,Estate,2,---,5,Blue,200,,,,,,,,,,,,,Ireland,UK,"Private Seller
5.0/5 (1)","Naas, Co. Kildare",Insignia,"€2,550",,,,,,,,,selection1
BMW 335D msport xdrive,https://www.donedeal.ie/cars-for-sale/bmw-335d-msport-xdrive/38905542,M SPORT,"118,000 mi",3.0 L Diesel,Feb 2026,2013,Automatic,1,BMW,Diesel,Saloon,4,Medium Trim,5,Blue,400,4.9 L/100 km,5.4 L/100 km,6.4 L/100 km,3.0 L,4.62 m,1.43 m,1.81 m,,,,,,Ireland,UK,"Private Seller
No rating yet","Collooney, Co. Sligo",3-Series,"€19,900",,14 cm,,,,,,,selection1
Volkswagen Passat Highline 1.6tdi,https://www.donedeal.ie/cars-for-sale/volkswagen-passat-highline-1-6tdi/39503612,Highline,"198,000 km",1.6 L Diesel,Jan 2026,2016,Manual,2,Volkswagen,Diesel,Saloon,4,Luxury Trim,5,Silver,190,3.6 L/100 km,4.0 L/100 km,4.7 L/100 km,1.6 L,4.77 m,1.46 m,1.83 m,,,,,,Ireland,No,Independent Dealer,"Dungarvan, Co. Waterford",Passat,"€13,995",,,Co. Waterford,66 L,,,,,selection1
BMW 630I 3.0 Petrol 3 Door convertible,https://www.donedeal.ie/cars-for-sale/bmw-630i-3-0-petrol-3-door-convertible/39184717,N,"155,700 km",3.0 L Petrol,May 2026,2008,Automatic,2,BMW,,,,,,,1250,,,,3.0 L,,,,,,,,,Ireland,No,Independent Dealer,"Finglas, Co. Dublin",6-Series,"€9,950",,,,,,,,,selection1
Opel Corsa 1.2 Petrol SXI Low Kms New NCT,https://www.donedeal.ie/cars-for-sale/opel-corsa-1-2-petrol-sxi-low-kms-new-nct/39313707,N,"86,000 km",1.2 L Petrol,Apr 2026,2007,Manual,3,Opel,,,,,,,358,,,,1.2 L,,,,,,,,,Ireland,No,Independent Dealer,"Finglas, Co. Dublin",Corsa,"€2,450",,,,,,,,,selection1
New NCT valid till 5-26-Volkswagen Polo 2014,https://www.donedeal.ie/cars-for-sale/new-nct-valid-till-5-26-volkswagen-polo-2014/39440381?campaign=3,-,"57,000 km",1.2 L Petrol,May 2026,2014,Automatic,1,Volkswagen,Petrol,Hatchback,5,Base Trim,5,Black,190,4.5 L/100 km,5.5 L/100 km,7.3 L/100 km,1.2 L,3.97 m,1.46 m,1.68 m,5/5,86%,71%,90%,41%,Ireland,Unknown country,"Private Seller
No rating yet","Clarehall, Co. Dublin",Polo,"€9,000",952 L,15 cm,,45 L,,,,,selection1
2015 Audi A4 2.0 TDI,https://www.donedeal.ie/cars-for-sale/2015-audi-a4-2-0-tdi/39441411?campaign=3,SE,"303,400 km",2.0 L Diesel,Nov 2025,2015,Manual,4,Audi,Diesel,Saloon,4,Sports Trim,5,Black,200,4.0 L/100 km,4.5 L/100 km,5.4 L/100 km,2.0 L,4.70 m,1.43 m,1.83 m,5/5,84%,71%,93%,39%,Ireland,No,Independent Dealer,"Portumna, Co. Galway",A4,"€8,750",480 L,,Co. Galway,,,,,,selection1
Opel Zafira Tourer 72 Vivaro/zafira 8 Seater,https://www.donedeal.ie/cars-for-sale/opel-zafira-tourer-72-vivaro-zafira-8-seater/38009666?campaign=3,---,"53,112 km",1.5 L Diesel,May 2026,2020,Manual,1,Opel,Diesel,MPV,5,---,8,White,270,,,,,,,,,,,,,Ireland,No,"Independent Dealer
4.0/5",Co. Cork,Zafira Tourer,"€38,900",,,Co. Cork,,,,,,selection1
Ford Focus 2012 1.6 diesel new nct €4950,https://www.donedeal.ie/cars-for-sale/ford-focus-2012-1-6-diesel-new-nct-4950/38817744,Edge,"177,000 mi",1.6 L Diesel,Jul 2026,2012,Manual,3,Ford,Diesel,Hatchback,4,Medium Trim,5,Silver,200,3.7 L/100 km,4.2 L/100 km,5.1 L/100 km,1.6 L,4.36 m,1.48 m,1.82 m,,,,,,Ireland,No,Independent Dealer,"Finglas, Co. Dublin",Focus,"€3,950","1,101 L",,,53 L,,,,,selection1
Toyota RAV4 Hybrid Sol 2020,https://www.donedeal.ie/cars-for-sale/toyota-rav4-hybrid-sol-2020/38910702,Sol,"121,000 km",2.5 L Petrol Hybrid,Mar 2026,2020,Automatic,1,Toyota,Petrol Hybrid,SUV,4,Luxury Trim,5,Blue,,,,,2.5 L,4.60 m,1.69 m,1.86 m,5/5,87%,77%,93%,85%,Ireland,No,"Private Seller
No rating yet","Limerick City, Co. Limerick",RAV4,"€27,000",,,,,,,,,selection1
Toyota Avensis,https://www.donedeal.ie/cars-for-sale/toyota-avensis/39428266,Strata,"385,255 km",2.0 L Diesel,Aug 2025,2011,Manual,2,Toyota,Diesel,Saloon,4,Medium Trim,5,Grey,280,4.5 L/100 km,5.3 L/100 km,6.7 L/100 km,2.0 L,4.70 m,1.48 m,1.81 m,,,,,,Ireland,No,"Private Seller
No rating yet","Blanchardstown, Co. Dublin",Avensis,"€3,500",,,,60 L,,,,,selection1
NEW NCT AUTOMATIC CAR FOR SALE,https://www.donedeal.ie/cars-for-sale/new-nct-automatic-car-for-sale/39263277,Terra,"100,200 km",1.0 L Petrol,Nov 2025,2013,Automatic,3,Toyota,Petrol,Hatchback,5,Base Trim,5,Black,190,4.3 L/100 km,4.8 L/100 km,5.8 L/100 km,1.0 L,3.89 m,1.51 m,1.70 m,,,,,,Ireland,Unknown country,"Private Seller
2.3/5 (12)","Oranmore, Co. Galway",Vitz,"€6,500",768 L,14 cm,,42 L,,,,,selection1
2016 Peugeot 108 3dr 90k mls,https://www.donedeal.ie/cars-for-sale/2016-peugeot-108-3dr-90k-mls/39220486,Active,"90,000 mi",1.0 L Petrol,Mar 2026,2016,Manual,3,Peugeot,Petrol,Hatchback,3,Base Trim,4,Silver,180,3.6 L/100 km,4.1 L/100 km,5.0 L/100 km,1.0 L,3.48 m,1.46 m,1.62 m,4/5,80%,56%,80%,62%,Ireland,N. Ireland,"Verified Private Seller
2.9/5 (9)","Waterford City, Co. Waterford",108,"€5,000",780 L,,,,,,,,selection1
"Mercedes C180 Blue, 1.6 Automatic Diesel",https://www.donedeal.ie/cars-for-sale/mercedes-c180-blue-1-6-automatic-diesel/39359153,AVANTGARDE,"62,500 km",1.6 L Diesel,Mar 2025,2019,Automatic,3,Mercedes-Benz,Diesel,Saloon,4,Base Trim,5,Blue,200,4.2 L/100 km,4.6 L/100 km,5.3 L/100 km,1.6 L,4.69 m,1.44 m,1.81 m,5/5,84%,70%,92%,77%,Ireland,No,"Verified Private Seller
No rating yet","Newtownmountkennedy, Co. Wicklow",C-Class,"€27,999",,,,,,,,,selection1
Mercedes,https://www.donedeal.ie/cars-for-sale/mercedes/39255152,AVANTGARDE,"72,000 mi",2.0 L Diesel,Jan 2026,2018,Automatic,2,Mercedes-Benz,Diesel,Saloon,4,Base Trim,5,Grey,190,3.6 L/100 km,3.9 L/100 km,4.3 L/100 km,2.0 L,4.92 m,1.47 m,1.85 m,5/5,90%,62%,95%,77%,Ireland,UK,"Verified Private Seller
No rating yet","Killucan, Co. Westmeath",E-Class,"€21,000",,,,,,,,,selection1
Mercedes-Benz CLA 2015,https://www.donedeal.ie/cars-for-sale/mercedes-benz-cla-2015/39445501,-,"272,000 km",2.1 L Diesel,Aug 2025,2015,Manual,4,Mercedes-Benz,Diesel,Saloon,4,Base Trim,5,White,190,3.4 L/100 km,4.1 L/100 km,5.3 L/100 km,2.1 L,4.63 m,1.43 m,1.78 m,5/5,75%,81%,91%,74%,Ireland,UK,"Private Seller
No rating yet","Drogheda, Co. Louth",CLA,"€10,500",,,,,,,,,selection1
BMW 520D M Sport Touring 2013,https://www.donedeal.ie/cars-for-sale/bmw-520d-m-sport-touring-2013/38784250,M SPORT,"208,000 mi",2.0 L Diesel,Jan 2026,2013,Manual,1,BMW,Diesel,Estate,5,Sports Trim,5,Grey,280,4.5 L/100 km,5.1 L/100 km,6.0 L/100 km,2.0 L,4.91 m,1.45 m,1.86 m,,,,,,Ireland,UK,"Verified Private Seller
5.0/5 (1)","Wicklow Town, Co. Wicklow",5-Series,"€11,995","1,670 L",13 cm,,70 L,,,,,selection1
KIA CARENS!!!! 7 SEATER !!HIGH SPEC!!!!!,https://www.donedeal.ie/cars-for-sale/kia-carens-7-seater-high-spec/39167498,Platinum,"146,000 mi",1.7 L Diesel,Aug 2026,2016,Manual,3,Kia,Diesel,MPV,5,Luxury Trim,7,Silver,200,4.4 L/100 km,4.9 L/100 km,5.9 L/100 km,1.7 L,4.53 m,1.61 m,1.81 m,5/5,76%,81%,94%,64%,Ireland,No,"Private Seller
No rating yet","Portarlington, Co. Laois",Carens,"€7,950",,,,,,,,,selection1
Mk7 Golf,https://www.donedeal.ie/cars-for-sale/mk7-golf/39451206,Highline,"224,000 km",1.6 L Diesel,Oct 2026,2016,Manual,2,Volkswagen,Diesel,Hatchback,3,Medium Trim,5,Blue,190,3.9 L/100 km,3.9 L/100 km,4.6 L/100 km,1.6 L,4.26 m,1.49 m,1.79 m,5/5,89%,71%,94%,65%,Ireland,UK,"Verified Private Seller
1.0/5 (1)","Cork City, Co. Cork",Golf,"€11,500","1,270 L",14 cm,,50 L,,,,,selection1
Volkswagen Golf Blue Motion 2L TDI,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-blue-motion-2l-tdi/38935311,Edition-R,"220,000 mi",2.0 L Diesel,Jan 2027,2015,Manual,1,Volkswagen,Diesel,Hatchback,5,Medium Trim,5,Black,190,3.6 L/100 km,4.1 L/100 km,5.0 L/100 km,2.0 L,4.26 m,1.45 m,1.80 m,5/5,89%,71%,94%,65%,Ireland,UK,"Verified Private Seller
No rating yet","Templemore, Co. Tipperary",Golf,"€8,500","1,270 L",14 cm,,50 L,,,,,selection1
"Nissan Qashqai 2010, NCT Oct 2025",https://www.donedeal.ie/cars-for-sale/nissan-qashqai-2010-nct-oct-2025/39503587,N,"206,273 km",1.5 L Diesel,Oct 2025,2010,---,6,Nissan,,,,,,,280,,,,,,,,,,,,,Ireland,N. Ireland,"Private Seller
No rating yet","Cork City, Co. Cork",Qashqai,"€3,000",,,,,,,,,selection1
Lexus GS300H,https://www.donedeal.ie/cars-for-sale/lexus-gs300h/39476971,Dynamic,"116,000 mi",2.5 L Petrol Hybrid,Jan 2026,2014,Automatic,3,Lexus,Petrol Hybrid,Saloon,4,Medium Trim,5,Black,200,,4.9 L/100 km,,2.5 L,4.85 m,1.46 m,1.84 m,,,,,,Ireland,No,"Private Seller
No rating yet","Jenkinstown, Co. Kilkenny",GS,"€17,450",,,,66 L,,,,,selection1
Skoda Octavia,https://www.donedeal.ie/cars-for-sale/skoda-octavia/39448264,Ambition,"240,000 km",1.6 L Diesel,Aug 2025,2015,Manual,4,Skoda,Diesel,Saloon,4,Medium Trim,5,Black,190,3.5 L/100 km,4.1 L/100 km,5.2 L/100 km,1.6 L,4.66 m,1.46 m,1.81 m,5/5,86%,66%,93%,82%,Ireland,No,"Private Seller
No rating yet","Midleton, Co. Cork",Octavia,"€7,000",,,,,,,,,selection1
2015 VOLKSWAGEN GOLF 1.6TDI **NCT&TAX**,https://www.donedeal.ie/cars-for-sale/2015-volkswagen-golf-1-6tdi-nct-tax/39484782,BlueMotion,170 mi,1.6 L Diesel,Sep 2025,2015,Manual,3,Volkswagen,Diesel,Hatchback,5,Medium Trim,5,Blue,180,3.0 L/100 km,3.2 L/100 km,3.8 L/100 km,1.6 L,4.26 m,1.45 m,1.80 m,5/5,89%,71%,94%,65%,Ireland,UK,"Private Seller
No rating yet",Co. Westmeath,Golf,"€8,250","1,270 L",14 cm,,50 L,,,,,selection1
Suzuki Swift 2016,https://www.donedeal.ie/cars-for-sale/suzuki-swift-2016/39320545,GLX,79 mi,1.2 L Petrol,Mar 2027,2016,Automatic,3,Suzuki,Petrol,Hatchback,5,Luxury Trim,5,Silver,180,4.9 L/100 km,5.6 L/100 km,6.8 L/100 km,1.2 L,3.85 m,1.51 m,1.70 m,5/5,82%,71%,94%,62%,Ireland,Unknown country,"Private Seller
No rating yet","Artane, Co. Dublin",Swift,"€8,900",,,,,,,,,selection1
VW Passat,https://www.donedeal.ie/cars-for-sale/vw-passat/38523672,COMFORTLINE,"286,000 mi",2.0 L Diesel,Sep 2026,2015,Manual,4,Volkswagen,Diesel,Estate,4,Medium Trim,5,Blue,,,,,2.0 L,4.77 m,1.47 m,1.82 m,5/5,77%,71%,91%,54%,Ireland,UK,"Private Seller
No rating yet","Malahide, Co. Dublin",Passat,"€7,200",565 L,14 cm,,,,,,,selection1
2024 Suzuki Jimny Sierra Top Spec,https://www.donedeal.ie/cars-for-sale/2024-suzuki-jimny-sierra-top-spec/39373338,---,"1,417 km",1.5 L Petrol,Apr 2028,2024,Manual,---,Suzuki,Petrol,SUV,3,---,4,Black,413,,,,,,,,,,,,,,,"Private Seller
No rating yet","Castleknock, Co. Dublin",Jimny,€1,,,,,,,,,selection1
2015 Honda Fit Automatic Hybrid NCT & roadtax,https://www.donedeal.ie/cars-for-sale/2015-honda-fit-automatic-hybrid-nct-roadtax/39287984,---,"128,700 km",1.5 L Petrol Hybrid,Feb 2026,2015,Automatic,1,Honda,Petrol Hybrid,Hatchback,5,---,5,White,180,,,,,,,,,,,,,Ireland,Unknown country,"Private Seller
No rating yet","Clonmel, Co. Tipperary",Fit,"€9,100",,,,,,,,,selection1
12 BMW 316D F30 NCT+TAX NEW TCHAIN,https://www.donedeal.ie/cars-for-sale/12-bmw-316d-f30-ncttax-new-tchain/39477636,SE,"210,000 mi",2.0 L Diesel,Sep 2025,2012,Manual,3,BMW,Diesel,Saloon,4,Medium Trim,5,Black,200,3.9 L/100 km,4.5 L/100 km,5.5 L/100 km,2.0 L,4.62 m,1.43 m,1.81 m,,,,,,Ireland,No,Independent Dealer,"Bandon, Co. Cork",3-Series,"€6,999",,,Co. Cork,57 L,,,,,selection1
2016 Mitsubishi Mirage 1.2 Automatic NCT &TAX,https://www.donedeal.ie/cars-for-sale/2016-mitsubishi-mirage-1-2-automatic-nct-tax/39287980,---,"107,360 km",1.2 L Petrol,Feb 2027,2016,Automatic,1,Mitsubishi,Petrol,Hatchback,5,---,5,White,180,,,,,,,,,,,,,Ireland,Unknown country,"Private Seller
No rating yet","Clonmel, Co. Tipperary",Mirage,"€7,900",,,,,,,,,selection1
