name,url,Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,Engine_Size,External_Length,External_Height,External_Width,Euro_NCAP_Overall_Safety_Rating,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Current_Country_Of_Reg,Imported,Independant_Dealer,Dublin2,Model,Price,Boot_Volume,Ground_Clearance,County,Fuel_Tank_Capacity,Engine_Power,Top_Speed,Battery_Capacity,Acceleration,section
2021 BMW 3 SERIES 330E M SPORT AUTO HYBRID 292BHP,https://www.donedeal.ie/cars-for-sale/2021-bmw-3-series-330e-m-sport-auto-hybrid-292bhp/39384520,M Sport,"61,510 mi",2.0 L Petrol Hybrid,Jul 2027,2021,Automatic,1,BMW,Petrol Hybrid,Saloon,4,Sports Trim,5,Grey,140,,6.8 L/100 km,,2.0 L,4.71 m,1.44 m,1.83 m,,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",3-Series,"€32,950",,15 cm,Co. Dublin,,,,,,selection1
2021 VOLVO XC40 R-DESIGN T5 RECHARGE HYBRID,https://www.donedeal.ie/cars-for-sale/2021-volvo-xc40-r-design-t5-recharge-hybrid/39384308,R-Design,"61,034 mi",1.5 L Petrol Hybrid,Feb 2027,2021,Automatic,1,Volvo,Petrol Hybrid,SUV,5,---,5,Silver,140,,,,,,,,,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",XC40,"€30,995",,,Co. Dublin,,,,,,selection1
Land Rover Range Rover Sport HSE OPENING SUNROOF,https://www.donedeal.ie/cars-for-sale/land-rover-range-rover-sport-hse-opening-sunroof/39441201,HSE,"100,532 km",2.0 L Diesel,May 2027,2017,Automatic,3,Land Rover,Diesel,SUV,5,Luxury Trim,5,Black,600,5.5 L/100 km,6.2 L/100 km,7.5 L/100 km,2.0 L,4.85 m,1.80 m,1.98 m,,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",Range Rover Sport,"€36,995",,,Co. Dublin,,,,,,selection1
LEXUS RX450H 3.5 Takumi LWB 7 SEATER HIGHEST SPEC,https://www.donedeal.ie/cars-for-sale/lexus-rx450h-3-5-takumi-lwb-7-seater-highest-spec/39377577,all,"83,358 mi",3.5 L Petrol Hybrid,---,2021,Automatic,1,Lexus,Petrol Hybrid,SUV,5,---,7,Blue,600,,,,,,,,,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",RX,"€57,950",,,Co. Dublin,,,,,,selection1
MERCEDES-BENZ EQC 80KWH 4MATIC 400 CREAM LEATHER,https://www.donedeal.ie/cars-for-sale/mercedes-benz-eqc-80kwh-4matic-400-cream-leather/39408836,all,"122,318 mi",400 km Electric,---,2021,Automatic,1,Mercedes-Benz,Electric,SUV,5,Base Trim,5,Silver,120,,,,,4.76 m,1.62 m,1.88 m,5/5,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",EQC,"€26,895","1,460 L",10 cm,Co. Dublin,,408 hp,,,5.1 sec,selection1
BMW X5 2.0XDRIVE40E M SPORT // CREAM LEATHER,https://www.donedeal.ie/cars-for-sale/bmw-x5-2-0xdrive40e-m-sport-cream-leather/39376510,M Sport,"95,148 km",2.0 L Petrol Plug-in Hybrid,Jun 2026,2018,Automatic,1,BMW,Petrol Plug-in Hybrid,SUV,5,Sports Trim,5,Black,170,,3.4 L/100 km,,2.0 L,4.89 m,1.76 m,1.94 m,,,,,,Ireland,UK,Independent Dealer,"Tallaght, Co. Dublin",X5,"€38,950","1,720 L",21 cm,Co. Dublin,85 L,313 hp,210 km/h,,6.8 sec,selection1
MERCEDES-BENZ EQC 400 AMG LINE 80 KwH BATTERY,https://www.donedeal.ie/cars-for-sale/mercedes-benz-eqc-400-amg-line-80-kwh-battery/39384617,AMG Line,"61,929 mi",400 km Electric,Apr 2027,2020,Automatic,1,Mercedes-Benz,Electric,SUV,5,Base Trim,5,Grey,120,,,,,4.76 m,1.62 m,1.88 m,5/5,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",EQC,"€33,950","1,460 L",10 cm,Co. Dublin,,408 hp,,,5.1 sec,selection1
LAND ROVER RANGE ROVER SPORT 2.0 P400E HSE DYNAMIC,https://www.donedeal.ie/cars-for-sale/land-rover-range-rover-sport-2-0-p400e-hse-dynamic/39306813,HSE Dynamic,"64,616 mi",2.0 L Petrol Plug-in Hybrid,May 2027,2021,Automatic,1,Land Rover,Petrol Plug-in Hybrid,SUV,5,Sports Trim,5,Blue,150,,,,2.0 L,4.88 m,1.80 m,2.07 m,,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",Range Rover Sport,"€52,950","1,686 L",28 cm,Co. Dublin,90 L,,,13.1 kWh,,selection1
BMW 5 SERIES 530E M SPORT AUTO HYBRID FACELIFT,https://www.donedeal.ie/cars-for-sale/bmw-5-series-530e-m-sport-auto-hybrid-facelift/39384429,M Sport,"65,179 mi",2.0 L Petrol Hybrid,Apr 2027,2020,Automatic,1,BMW,Petrol Hybrid,Saloon,4,Sports Trim,5,Black,170,,1.7 L/100 km,,2.0 L,4.94 m,1.48 m,1.87 m,5/5,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",5-Series,"€36,950",530 L,14 cm,Co. Dublin,,,,,,selection1
MERCEDES-BENZ C CLASS C300DE AMG LINE EDI ESTATE,https://www.donedeal.ie/cars-for-sale/mercedes-benz-c-class-c300de-amg-line-edi-estate/39361942,AMG Line,"72,527 mi",2.0 L Diesel Plug-in Hybrid,May 2027,2021,Automatic,1,Mercedes-Benz,Diesel Plug-in Hybrid,Estate,5,Base Trim,5,Blue,140,5.3 L/100 km,6.5 L/100 km,8.5 L/100 km,2.0 L,4.70 m,1.46 m,1.81 m,5/5,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",C-Class,"€31,950","1,510 L",9 cm,Co. Dublin,66 L,258 hp,,,6.0 sec,selection1
