Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,Engine_Size,External_Length,External_Height,External_Width,Euro_NCAP_Overall_Safety_Rating,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Current_Country_Of_Reg,Imported,Independant_Dealer,Counties,Model,Price,Boot_Volume,Ground_Clearance,County,Fuel_Tank_Capacity,Engine_Power,Top_Speed,Battery_Capacity,Acceleration,section,combined,sentiment,sentiment3,sentiment2
Executive,205995.52,1.7 L Diesel,Jun 2026,2016.0,Manual,2,Hyundai,Diesel,SUV,5,Medium Trim,5,Black,200.0,4.0 L/100 km,4.4 L/100 km,5.1 L/100 km,1.7 L,4.48 m,1.65 m,1.85 m,5/5,85%,71%,86%,71%,Ireland,No,"Private Seller
No rating yet","Ardara, Co. Donegal",Tucson,10500.0,,,,,,,,,selection1,Hyundai Tucson,0.1600852272727273,2,2
---,72643.99826,2.0 L Diesel,---,2021.0,Automatic,---,Audi,Diesel,---,---,---,5,White,,,,,,,,,,,,,,UK,,Franchise Dealer,"Dungannon, Co. Tyrone",Q5,32455.8,,,,,,,,,selection1,Audi Q5,0.2142518939393939,1,3
S Line,130839.342,2.0 L Diesel,Jun 2026,2018.0,Manual,1,Audi,Diesel,Saloon,4,Sports Trim,5,Grey,200.0,3.9 L/100 km,4.4 L/100 km,5.2 L/100 km,2.0 L,4.93 m,1.46 m,1.87 m,5/5,83%,86%,91%,41%,Ireland,UK,"Verified Trader
No rating yet","Derry City, Co. Derry",A6,22500.0,,,,,,,,,selection1,Audi A6,0.4166666666666667,2,5
SZ5,27654.0,1.2 L Petrol Hybrid,Oct 2025,2017.0,Automatic,3,Suzuki,Petrol Hybrid,Hatchback,5,Luxury Trim,5,Black,200.0,4.2 L/100 km,4.5 L/100 km,4.9 L/100 km,1.2 L,3.84 m,1.50 m,1.74 m,3/5,75%,25%,83%,69%,Ireland,Unknown country,"Private Seller
No rating yet","Greystones, Co. Wicklow",Swift,11000.0,265 L,12 cm,,,,,,,selection1,Suzuki Swift,-0.1534090909090909,1,1
GT,19448.0,1.5 L Diesel,Jan 2028,2024.0,Automatic,1,Peugeot,Diesel,MPV,4,Luxury Trim,5,Grey,270.0,,5.3 L/100 km,,1.5 L,4.45 m,,1.84 m,5/5,85%,58%,86%,67%,Ireland,No,"Franchise Dealer
4.5/5",Co. Dublin,3008,40995.0,,,Co. Dublin,,,,,,selection1,Peugeot 3008,0.3333333333333333,2,4
Luna,80000.0,1.0 L Petrol,Jun 2026,2016.0,Manual,2,Toyota,Petrol,Hatchback,4,Medium Trim,5,Blue,180.0,3.8 L/100 km,4.3 L/100 km,5.2 L/100 km,1.0 L,3.95 m,1.51 m,1.70 m,5/5,81%,86%,89%,60%,Ireland,No,Franchise Dealer,"Macroom, Co. Cork",Yaris,13000.0,768 L,14 cm,Co. Cork,42 L,,,,,selection1,Toyota Yaris,0.35,2,4
R-Line,20800.0,1.0 L Petrol,Jul 2026,2022.0,Manual,2,Volkswagen,Petrol,Hatchback,5,Sports Trim,5,White,190.0,,5.2 L/100 km,,1.0 L,4.07 m,,1.75 m,5/5,85%,59%,96%,76%,Ireland,No,"Franchise Dealer
4.6/5",Co. Galway,Polo,24945.0,"1,125 L",,Co. Galway,40 L,,,,,selection1,Volkswagen Polo,0.3681818181818181,2,1
Premium,18461.0,1.6 L Petrol Plug-in Hybrid,Aug 2027,2023.0,Automatic,1,Hyundai,Petrol Plug-in Hybrid,SUV,5,Medium Trim,7,Grey,,,,,1.6 L,4.79 m,1.71 m,1.90 m,5/5,88%,76%,94%,67%,Ireland,No,Franchise Dealer,Co. Kerry,Santa Fe,57950.0,"1,695 L",18 cm,Co. Kerry,47 L,265 hp,187 km/h,13.8 kWh,8.8 sec,selection1,Hyundai Santa Fe,0.3415223665223665,2,4
Ambition,320000.0,1.6 L Diesel,Mar 2027,2016.0,Manual,3,Skoda,Diesel,Saloon,4,Medium Trim,5,Silver,180.0,3.5 L/100 km,4.1 L/100 km,5.2 L/100 km,1.6 L,4.66 m,1.46 m,1.81 m,,,,,,Ireland,No,"Private Seller
No rating yet","North County, Co. Dublin",Octavia,6250.0,,,,,,,,,selection1,Skoda Octavia,0.1167956349206348,1,2
Luna,105000.0,1.6 L Diesel,Mar 2027,2017.0,Manual,2,Toyota,Diesel,Saloon,4,Medium Trim,5,Grey,190.0,3.6 L/100 km,4.2 L/100 km,5.1 L/100 km,1.6 L,4.75 m,1.48 m,1.81 m,,,,,,Ireland,No,"Private Seller
No rating yet","Ballina, Co. Mayo",Avensis,13100.0,,,,60 L,,,,,selection1,Toyota Avensis,0.0589657738095238,1,2
N,153000.0,1.0 L Petrol,Jan 2025,2006.0,Manual,3,Toyota,,,,,,,199.0,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet",Co. Dublin,Yaris,1995.0,,,,,,,,,selection1,Toyota Yaris,0.35,2,4
SV,12716.0,1.0 L Petrol,May 2027,2021.0,Manual,2,Nissan,Petrol,Hatchback,4,Medium Trim,5,Red,200.0,,5.5 L/100 km,,1.0 L,4.00 m,1.46 m,1.74 m,4/5,79%,49%,91%,68%,Ireland,No,"Private Seller
No rating yet","Kilmallock, Co. Limerick",Micra,17500.0,,,,,,,,,selection1,Nissan Micra,0.1895833333333333,2,3
S LINE,281132.38592,2.0 L Diesel,Jun 2025,2012.0,Automatic,2,Audi,Diesel,Saloon,4,Sports Trim,5,Black,280.0,4.4 L/100 km,5.0 L/100 km,6.0 L/100 km,2.0 L,4.92 m,1.45 m,1.87 m,,,,,,Ireland,UK,"Private Seller
No rating yet","Swords, Co. Dublin",A6,9150.0,,,,,,,,,selection1,Audi A6,0.4166666666666667,2,5
-,137742.0,1.5 L Petrol Hybrid,Dec 2025,2016.0,Automatic,3,Toyota,Petrol Hybrid,Hatchback,5,Base Trim,5,Silver,170.0,3.7 L/100 km,3.9 L/100 km,3.9 L/100 km,1.5 L,4.48 m,1.49 m,1.75 m,5/5,82%,86%,88%,68%,Ireland,Unknown country,"Private Seller
No rating yet","Tullamore, Co. Offaly",Aqua,7999.0,"1,120 L",,,,,,,,selection1,Toyota Aqua,0.1964285714285714,2,3
N,156377.0,1.2 L Petrol,Jan 2026,2010.0,Manual,4,Hyundai,,,,,,,200.0,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet","Enniscorthy, Co. Wexford",i10,2500.0,,,,,,,,,selection1,Hyundai i10,0.2582465277777777,2,3
---,92089.65348,3.0 L Diesel,---,2018.0,Automatic,2,BMW,Diesel,---,5,---,5,White,790.0,,,,,,,,,,,,,Other,,Independent Dealer,Co. Derry,X6,30999.15,,,,,,,,,selection1,BMW X6,0.2725694444444445,2,1
S Line,63805.0,2.0 L Diesel,Feb 2026,2022.0,Automatic,2,Audi,Diesel,Saloon,4,Sports Trim,5,Black,210.0,,5.3 L/100 km,,2.0 L,4.76 m,,1.85 m,,,,,,Ireland,No,"Private Seller
No rating yet","Charlestown, Co. Mayo",A4,40995.0,,,,,,,,,selection1,Audi A4,0.1259649122807017,1,2
N,104607.1,2.5 L Petrol,Nov 2024,2003.0,---,8,BMW,,,,,,,1080.0,,,,,,,,,,,,,Ireland,N. Ireland,"Private Seller
No rating yet",Co. Kerry,Z4,8000.0,,,,,,,,,selection1,BMW Z4,0.2974472194472194,1,3
N,111000.0,1.2 L Petrol,Nov 2025,2008.0,Manual,4,Volkswagen,,,,,,,280.0,,,,,,,,,,,,,Ireland,No,"Verified Private Seller
No rating yet","North City, Co. Dublin",Polo,2850.0,,,,,,,,,selection1,Volkswagen Polo,0.3681818181818181,2,1
-,170000.0,1.4 L Petrol,Nov 2025,2014.0,Automatic,2,Audi,Petrol,Hatchback,5,Base Trim,5,Black,270.0,4.6 L/100 km,5.3 L/100 km,6.5 L/100 km,1.4 L,3.95 m,1.42 m,1.75 m,,,,,,Ireland,Unknown country,Independent Dealer,"Dungarvan, Co. Waterford",A1,10995.0,920 L,,Co. Waterford,,,,,,selection1,Audi A1,0.2572463768115942,1,4
Trendline,155000.0,1.6 L Diesel,Jan 2024,2018.0,Manual,2,Volkswagen,Diesel,Saloon,4,Base Trim,5,Grey,190.0,3.6 L/100 km,4.0 L/100 km,4.7 L/100 km,1.6 L,4.77 m,1.48 m,1.83 m,,,,,,Ireland,No,Independent Dealer,"Dungarvan, Co. Waterford",Passat,14995.0,,,Co. Waterford,,,,,,selection1,Volkswagen Passat,0.1682420357420357,1,1
Highline,198000.0,1.6 L Diesel,Jan 2026,2016.0,Manual,2,Volkswagen,Diesel,Saloon,4,Luxury Trim,5,Silver,190.0,3.6 L/100 km,4.0 L/100 km,4.7 L/100 km,1.6 L,4.77 m,1.46 m,1.83 m,,,,,,Ireland,No,Independent Dealer,"Dungarvan, Co. Waterford",Passat,13995.0,,,Co. Waterford,66 L,,,,,selection1,Volkswagen Passat,0.1682420357420357,1,1
N,86000.0,1.2 L Petrol,Apr 2026,2007.0,Manual,3,Opel,,,,,,,358.0,,,,1.2 L,,,,,,,,,Ireland,No,Independent Dealer,"Finglas, Co. Dublin",Corsa,2450.0,,,,,,,,,selection1,Opel Corsa,-0.75,1,3
-,57000.0,1.2 L Petrol,May 2026,2014.0,Automatic,1,Volkswagen,Petrol,Hatchback,5,Base Trim,5,Black,190.0,4.5 L/100 km,5.5 L/100 km,7.3 L/100 km,1.2 L,3.97 m,1.46 m,1.68 m,5/5,86%,71%,90%,41%,Ireland,Unknown country,"Private Seller
No rating yet","Clarehall, Co. Dublin",Polo,9000.0,952 L,15 cm,,45 L,,,,,selection1,Volkswagen Polo,0.3681818181818181,2,1
SE,303400.0,2.0 L Diesel,Nov 2025,2015.0,Manual,4,Audi,Diesel,Saloon,4,Sports Trim,5,Black,200.0,4.0 L/100 km,4.5 L/100 km,5.4 L/100 km,2.0 L,4.70 m,1.43 m,1.83 m,5/5,84%,71%,93%,39%,Ireland,No,Independent Dealer,"Portumna, Co. Galway",A4,8750.0,480 L,,Co. Galway,,,,,,selection1,Audi A4,0.1259649122807017,1,2
---,53112.0,1.5 L Diesel,May 2026,2020.0,Manual,1,Opel,Diesel,MPV,5,---,8,White,270.0,,,,,,,,,,,,,Ireland,No,"Independent Dealer
4.0/5",Co. Cork,Zafira Tourer,38900.0,,,Co. Cork,,,,,,selection1,Opel Zafira Tourer,-0.5444444444444445,1,4
Edge,284853.18,1.6 L Diesel,Jul 2026,2012.0,Manual,3,Ford,Diesel,Hatchback,4,Medium Trim,5,Silver,200.0,3.7 L/100 km,4.2 L/100 km,5.1 L/100 km,1.6 L,4.36 m,1.48 m,1.82 m,,,,,,Ireland,No,Independent Dealer,"Finglas, Co. Dublin",Focus,3950.0,"1,101 L",,,53 L,,,,,selection1,Ford Focus,0.0116071428571428,1,4
Strata,385255.0,2.0 L Diesel,Aug 2025,2011.0,Manual,2,Toyota,Diesel,Saloon,4,Medium Trim,5,Grey,280.0,4.5 L/100 km,5.3 L/100 km,6.7 L/100 km,2.0 L,4.70 m,1.48 m,1.81 m,,,,,,Ireland,No,"Private Seller
No rating yet","Blanchardstown, Co. Dublin",Avensis,3500.0,,,,60 L,,,,,selection1,Toyota Avensis,0.0589657738095238,1,2
Terra,100200.0,1.0 L Petrol,Nov 2025,2013.0,Automatic,3,Toyota,Petrol,Hatchback,5,Base Trim,5,Black,190.0,4.3 L/100 km,4.8 L/100 km,5.8 L/100 km,1.0 L,3.89 m,1.51 m,1.70 m,,,,,,Ireland,Unknown country,"Private Seller
2.3/5 (12)","Oranmore, Co. Galway",Vitz,6500.0,768 L,14 cm,,42 L,,,,,selection1,Toyota Vitz,-0.025,1,2
Active,144840.6,1.0 L Petrol,Mar 2026,2016.0,Manual,3,Peugeot,Petrol,Hatchback,3,Base Trim,4,Silver,180.0,3.6 L/100 km,4.1 L/100 km,5.0 L/100 km,1.0 L,3.48 m,1.46 m,1.62 m,4/5,80%,56%,80%,62%,Ireland,N. Ireland,"Verified Private Seller
2.9/5 (9)","Waterford City, Co. Waterford",108,5000.0,780 L,,,,,,,,selection1,Peugeot 108,0.3151041666666666,2,3
Platinum,234963.63999999998,1.7 L Diesel,Aug 2026,2016.0,Manual,3,Kia,Diesel,MPV,5,Luxury Trim,7,Silver,200.0,4.4 L/100 km,4.9 L/100 km,5.9 L/100 km,1.7 L,4.53 m,1.61 m,1.81 m,5/5,76%,81%,94%,64%,Ireland,No,"Private Seller
No rating yet","Portarlington, Co. Laois",Carens,7950.0,,,,,,,,,selection1,Kia Carens,0.2109375,1,1
Highline,224000.0,1.6 L Diesel,Oct 2026,2016.0,Manual,2,Volkswagen,Diesel,Hatchback,3,Medium Trim,5,Blue,190.0,3.9 L/100 km,3.9 L/100 km,4.6 L/100 km,1.6 L,4.26 m,1.49 m,1.79 m,5/5,89%,71%,94%,65%,Ireland,UK,"Verified Private Seller
1.0/5 (1)","Cork City, Co. Cork",Golf,11500.0,"1,270 L",14 cm,,50 L,,,,,selection1,Volkswagen Golf,0.0,1,5
Edition-R,354054.8,2.0 L Diesel,Jan 2027,2015.0,Manual,1,Volkswagen,Diesel,Hatchback,5,Medium Trim,5,Black,190.0,3.6 L/100 km,4.1 L/100 km,5.0 L/100 km,2.0 L,4.26 m,1.45 m,1.80 m,5/5,89%,71%,94%,65%,Ireland,UK,"Verified Private Seller
No rating yet","Templemore, Co. Tipperary",Golf,8500.0,"1,270 L",14 cm,,50 L,,,,,selection1,Volkswagen Golf,0.0,1,5
N,206273.0,1.5 L Diesel,Oct 2025,2010.0,---,6,Nissan,,,,,,,280.0,,,,,,,,,,,,,Ireland,N. Ireland,"Private Seller
No rating yet","Cork City, Co. Cork",Qashqai,3000.0,,,,,,,,,selection1,Nissan Qashqai,0.019047619047619,1,2
Dynamic,186683.44,2.5 L Petrol Hybrid,Jan 2026,2014.0,Automatic,3,Lexus,Petrol Hybrid,Saloon,4,Medium Trim,5,Black,200.0,,4.9 L/100 km,,2.5 L,4.85 m,1.46 m,1.84 m,,,,,,Ireland,No,"Private Seller
No rating yet","Jenkinstown, Co. Kilkenny",GS,17450.0,,,,66 L,,,,,selection1,Lexus GS,0.3367906336088154,1,5
Ambition,240000.0,1.6 L Diesel,Aug 2025,2015.0,Manual,4,Skoda,Diesel,Saloon,4,Medium Trim,5,Black,190.0,3.5 L/100 km,4.1 L/100 km,5.2 L/100 km,1.6 L,4.66 m,1.46 m,1.81 m,5/5,86%,66%,93%,82%,Ireland,No,"Private Seller
No rating yet","Midleton, Co. Cork",Octavia,7000.0,,,,,,,,,selection1,Skoda Octavia,0.1167956349206348,1,2
BlueMotion,273.5878,1.6 L Diesel,Sep 2025,2015.0,Manual,3,Volkswagen,Diesel,Hatchback,5,Medium Trim,5,Blue,180.0,3.0 L/100 km,3.2 L/100 km,3.8 L/100 km,1.6 L,4.26 m,1.45 m,1.80 m,5/5,89%,71%,94%,65%,Ireland,UK,"Private Seller
No rating yet",Co. Westmeath,Golf,8250.0,"1,270 L",14 cm,,50 L,,,,,selection1,Volkswagen Golf,0.0,1,5
GLX,127.13786,1.2 L Petrol,Mar 2027,2016.0,Automatic,3,Suzuki,Petrol,Hatchback,5,Luxury Trim,5,Silver,180.0,4.9 L/100 km,5.6 L/100 km,6.8 L/100 km,1.2 L,3.85 m,1.51 m,1.70 m,5/5,82%,71%,94%,62%,Ireland,Unknown country,"Private Seller
No rating yet","Artane, Co. Dublin",Swift,8900.0,,,,,,,,,selection1,Suzuki Swift,-0.1534090909090909,1,1
COMFORTLINE,460271.24,2.0 L Diesel,Sep 2026,2015.0,Manual,4,Volkswagen,Diesel,Estate,4,Medium Trim,5,Blue,,,,,2.0 L,4.77 m,1.47 m,1.82 m,5/5,77%,71%,91%,54%,Ireland,UK,"Private Seller
No rating yet","Malahide, Co. Dublin",Passat,7200.0,565 L,14 cm,,,,,,,selection1,Volkswagen Passat,0.1682420357420357,1,1
---,128700.0,1.5 L Petrol Hybrid,Feb 2026,2015.0,Automatic,1,Honda,Petrol Hybrid,Hatchback,5,---,5,White,180.0,,,,,,,,,,,,,Ireland,Unknown country,"Private Seller
No rating yet","Clonmel, Co. Tipperary",Fit,9100.0,,,,,,,,,selection1,Honda Fit,0.3854166666666667,2,4
---,107360.0,1.2 L Petrol,Feb 2027,2016.0,Automatic,1,Mitsubishi,Petrol,Hatchback,5,---,5,White,180.0,,,,,,,,,,,,,Ireland,Unknown country,"Private Seller
No rating yet","Clonmel, Co. Tipperary",Mirage,7900.0,,,,,,,,,selection1,Mitsubishi Mirage,0.0243801652892562,2,3
-,,1.5 L Petrol Hybrid,May 2025,2017.0,Automatic,2,Toyota,Petrol Hybrid,Hatchback,5,Base Trim,5,Purple,170.0,3.1 L/100 km,3.0 L/100 km,2.9 L/100 km,1.5 L,4.54 m,1.47 m,1.76 m,5/5,82%,85%,92%,77%,Ireland,Unknown country,"Private Seller
No rating yet","Leopardstown, Co. Dublin",Aqua,9490.0,"1,633 L",12 cm,,45 L,,,,,selection1,Toyota Aqua,0.1964285714285714,2,3
N,283588.0,2.0 L Petrol,Dec 2023,2008.0,Manual,11,Volkswagen,,,,,,,,,,,,,,,,,,,,Ireland,No,"Verified Private Seller
1.0/5 (1)","Kilkenny City, Co. Kilkenny",Golf,4950.0,,,,,,,,,selection1,Volkswagen Golf,0.0,1,5
Executive,335086.0,1.7 L Diesel,Aug 2024,2012.0,Manual,3,Hyundai,Diesel,Saloon,4,Luxury Trim,5,Grey,200.0,3.7 L/100 km,4.3 L/100 km,5.3 L/100 km,1.7 L,4.74 m,1.47 m,1.82 m,,,,,,Ireland,No,"Private Seller
No rating yet","Ashford, Co. Wicklow",i40,4000.0,,,,,,,,,selection1,Hyundai i40,0.1169172932330827,1,3
Classic,205.99552,1.6 L Diesel,Jun 2026,2011.0,Manual,2,Hyundai,Diesel,Hatchback,5,Base Trim,4,Blue,200.0,3.9 L/100 km,4.4 L/100 km,5.2 L/100 km,1.6 L,4.28 m,1.48 m,1.78 m,,,,,,Ireland,UK,"Verified Private Seller
5.0/5 (1)",Co. Kerry,i30,3750.0,,,,,,,,,selection1,Hyundai i30,0.1575883838383838,1,2
SE SELECT,63949.0,1.2 L Petrol,May 2026,2016.0,Manual,2,SEAT,Petrol,Estate,5,Medium Trim,5,Grey,200.0,4.3 L/100 km,4.9 L/100 km,5.9 L/100 km,1.2 L,4.26 m,1.46 m,1.82 m,5/5,92%,71%,94%,70%,Ireland,No,"Private Seller
No rating yet","Castletroy, Co. Limerick",Leon,13000.0,"1,210 L",,,50 L,,,,,selection1,SEAT Leon,0.3455357142857142,2,4
STYLE,201167.5,1.5 L Petrol,Jul 2027,2021.0,Manual,1,Skoda,Petrol,Hatchback,5,Luxury Trim,5,Blue,200.0,,5.7 L/100 km,,1.5 L,4.69 m,,1.83 m,,,,,,Ireland,N. Ireland,Independent Dealer,"Tallaght, Co. Dublin",Octavia,18950.0,,,Co. Dublin,,,,,,selection1,Skoda Octavia,0.1167956349206348,1,2
Elegance,178636.74,2.0 L Diesel,Jul 2025,2015.0,Manual,3,Skoda,Diesel,SUV,4,Luxury Trim,5,Grey,280.0,4.3 L/100 km,5.1 L/100 km,6.4 L/100 km,2.0 L,4.22 m,1.69 m,1.79 m,,,,,,Ireland,No,"Independent Dealer
4.6/5",Co. Tipperary,Yeti,10999.0,,,Co. Tipperary,,,,,,selection1,Skoda Yeti,0.0264880952380952,1,3
S,289681.2,2.0 L Diesel,Sep 2026,2016.0,Manual,2,Land Rover,Diesel,SUV,5,Base Trim,7,Red,280.0,4.7 L/100 km,5.3 L/100 km,6.3 L/100 km,2.0 L,4.60 m,1.72 m,1.89 m,,,,,,Ireland,No,"Independent Dealer
4.1/5","Gorey, Co. Wexford",Discovery Sport,17950.0,,,Co. Wexford,,,,,,selection1,Land Rover Discovery Sport,-0.063954248366013,1,3
xLine,183464.76,2.0 L Diesel,Jan 2026,2016.0,Automatic,1,BMW,Diesel,SUV,4,Luxury Trim,5,Grey,200.0,3.9 L/100 km,4.3 L/100 km,5.1 L/100 km,2.0 L,4.44 m,1.60 m,1.82 m,,,,,,Ireland,No,Independent Dealer,"Tallaght, Co. Dublin",X1,15950.0,,,Co. Dublin,,,,,,selection1,BMW X1,0.1983333333333333,1,2
---,14800.0,1.2 L Petrol,Jan 2026,2014.0,Automatic,1,Volkswagen,Petrol,Hatchback,3,---,5,Black,200.0,4.2 L/100 km,4.9 L/100 km,5.9 L/100 km,1.2 L,4.26 m,1.45 m,1.79 m,,,,,,Ireland,Unknown country,"Verified Private Seller
No rating yet","Dublin 15, Co. Dublin",Golf,12950.0,"1,270 L",14 cm,,50 L,,,,,selection1,Volkswagen Golf,0.0,1,5
TRENDLINE,45000.0,1.2 L Petrol,Apr 2026,2013.0,Automatic,1,Volkswagen,Petrol,Hatchback,3,---,5,Blue,200.0,4.6 L/100 km,5.5 L/100 km,7.0 L/100 km,1.2 L,4.20 m,1.48 m,1.78 m,,,,,,Ireland,Unknown country,"Verified Private Seller
No rating yet","Blanchardstown, Co. Dublin",Golf,12600.0,,,,,,,,,selection1,Volkswagen Golf,0.0,1,5
SE,215000.0,1.2 L Petrol,Dec 2025,2013.0,Manual,3,SEAT,Petrol,Hatchback,5,Luxury Trim,5,Blue,200.0,4.3 L/100 km,4.9 L/100 km,5.9 L/100 km,1.2 L,4.26 m,1.46 m,1.82 m,,,,,,Ireland,UK,"Private Seller
1.0/5 (1)","Raheen, Co. Limerick",Leon,7998.0,,,,,,,,,selection1,SEAT Leon,0.3455357142857142,2,4
TAKE UP,85400.0,1.0 L Petrol,Jun 2026,2013.0,Automatic,2,Volkswagen,Petrol,Hatchback,5,Base Trim,4,Red,180.0,4.0 L/100 km,4.7 L/100 km,5.9 L/100 km,1.0 L,3.54 m,1.49 m,1.65 m,,,,,,Ireland,Unknown country,"Private Seller
No rating yet","South County, Co. Dublin",up!,1.0,951 L,14 cm,,35 L,,,,,selection1,Volkswagen up!,0.2115384615384615,1,3
SC,193000.0,1.6 L Diesel,Sep 2025,2015.0,Manual,3,Opel,Diesel,Saloon,4,Medium Trim,5,Silver,180.0,3.4 L/100 km,3.7 L/100 km,4.3 L/100 km,1.6 L,4.66 m,1.50 m,1.81 m,5/5,84%,71%,95%,46%,Ireland,No,"Private Seller
No rating yet","Naas, Co. Kildare",Astra,4950.0,460 L,,,,,,,,selection1,Opel Astra,0.2083333333333333,1,4
SE,168000.0,2.0 L Diesel,Oct 2026,2018.0,Automatic,1,Land Rover,Diesel,SUV,5,Base Trim,7,Grey,280.0,4.7 L/100 km,5.3 L/100 km,6.3 L/100 km,2.0 L,4.60 m,1.72 m,1.89 m,5/5,83%,82%,93%,69%,Ireland,Unknown country,"Private Seller
No rating yet","Bagenalstown, Co. Carlow",Discovery Sport,30000.0,"1,698 L",21 cm,,54 L,,,,,selection1,Land Rover Discovery Sport,-0.063954248366013,1,3
N,185000.0,1.4 L Diesel,---,2007.0,Manual,4,Ford,,,,,,,385.0,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet","Swinford, Co. Mayo",Fiesta,1350.0,,,,,,,,,selection1,Ford Fiesta,0.1742424242424242,2,5
---,58515.602399999996,1.0 L Petrol,Mar 2026,2014.0,Automatic,1,Mitsubishi,Petrol,Hatchback,5,---,5,White,180.0,,,,1.0 L,,,,,,,,,Ireland,Unknown country,Independent Dealer,"Newcastle, Co. Dublin",Mirage,7950.0,,,Co. Dublin,,,,,,selection1,Mitsubishi Mirage,0.0243801652892562,2,3
-,89479.304,1.2 L Petrol,Mar 2026,2013.0,Automatic,1,Nissan,Petrol,Hatchback,5,Base Trim,5,Green,200.0,4.3 L/100 km,5.0 L/100 km,6.1 L/100 km,1.2 L,3.78 m,1.53 m,1.68 m,,,,,,Ireland,Unknown country,Independent Dealer,"Newcastle, Co. Dublin",March,6950.0,"1,132 L",,Co. Dublin,,,,,,selection1,Nissan March,0.2,1,2
Ambiente,277078.45846,1.6 L Diesel,Feb 2026,2012.0,Manual,1,Skoda,Diesel,Estate,5,Medium Trim,5,Blue,190.0,3.6 L/100 km,4.2 L/100 km,5.1 L/100 km,1.6 L,4.57 m,1.47 m,1.77 m,,,,,,Ireland,UK,"Private Seller
No rating yet","Blanchardstown, Co. Dublin",Octavia,3500.0,,,,,,,,,selection1,Skoda Octavia,0.1167956349206348,1,2
TRENDLINE,164000.0,1.2 L Petrol,May 2026,2013.0,Manual,4,Volkswagen,Petrol,Hatchback,5,Base Trim,5,White,270.0,4.5 L/100 km,5.5 L/100 km,7.3 L/100 km,1.2 L,3.97 m,1.46 m,1.68 m,,,,,,Ireland,No,"Private Seller
No rating yet","Sligo Town, Co. Sligo",Polo,6850.0,,,,,,,,,selection1,Volkswagen Polo,0.3681818181818181,2,1
N,285000.0,1.6 L Petrol,Oct 2024,2008.0,Manual,3,Toyota,,,,,,,,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet","Tallaght, Co. Dublin",Avensis,1200.0,,,,,,,,,selection1,Toyota Avensis,0.0589657738095238,1,2
N,119091.16,1.4 L Petrol,Mar 2026,2007.0,Manual,3,Toyota,,,,,,,385.0,,,,,,,,,,,,,Ireland,No,"Private Seller
5.0/5 (1)","West County, Co. Dublin",Corolla,3250.0,,,,,,,,,selection1,Toyota Corolla,0.1815716911764706,1,1
N,286462.52,1.4 L Diesel,Jan 2026,2008.0,---,7,Peugeot,,,,,,,200.0,,,,,,,,,,,,,Ireland,UK,"Private Seller
No rating yet","Thurles, Co. Tipperary",207,1850.0,,,,,,,,,selection1,Peugeot 207,-0.0284722222222222,1,1
Ambition,,1.6 L Diesel,Jul 2025,2013.0,Manual,4,Skoda,Diesel,Saloon,4,Medium Trim,5,Silver,190.0,,4.2 L/100 km,,1.6 L,4.83 m,1.46 m,1.82 m,,,,,,Ireland,No,"Private Seller
No rating yet","Blanchardstown, Co. Dublin",Superb,5999.0,,,,,,,,,selection1,Skoda Superb,0.4194805194805195,2,5
SE,29000.0,2.0 L Diesel,Jan 2026,2022.0,Automatic,1,Audi,Diesel,Saloon,4,Base Trim,5,Grey,270.0,,5.4 L/100 km,,2.0 L,4.94 m,,1.89 m,5/5,85%,76%,93%,81%,Ireland,UK,"Private Seller
5.0/5 (3)","Carrigaline, Co. Cork",A6,42000.0,530 L,,,,,,,,selection1,Audi A6,0.4166666666666667,2,5
-,120400.0,1.5 L Petrol Hybrid,Mar 2026,2018.0,Automatic,3,Toyota,Petrol Hybrid,Hatchback,5,Medium Trim,5,White,170.0,3.5 L/100 km,3.5 L/100 km,3.1 L/100 km,1.5 L,3.95 m,1.51 m,1.70 m,5/5,81%,86%,89%,60%,Ireland,Unknown country,"Private Seller
No rating yet","Blanchardstown, Co. Dublin",Vitz,12000.0,768 L,14 cm,,36 L,,,,,selection1,Toyota Vitz,-0.025,1,2
IRISH EDITION,239791.66,1.5 L Diesel,Jul 2025,2011.0,Manual,4,Renault,Diesel,Estate,4,Sports Trim,5,Black,,,,,1.5 L,4.56 m,1.50 m,1.80 m,,,,,,Ireland,No,"Private Seller
No rating yet","South County, Co. Dublin",Megane,1950.0,,,,,,,,,selection1,Renault Megane,0.2333333333333333,1,4
Executive,204386.18,2.2 L Diesel,Jun 2026,2014.0,Manual,1,Mazda,Diesel,Saloon,4,Base Trim,5,Red,190.0,3.5 L/100 km,3.9 L/100 km,4.7 L/100 km,2.2 L,4.58 m,1.47 m,1.80 m,5/5,86%,81%,93%,65%,Ireland,UK,"Verified Trader
No rating yet","Croom, Co. Limerick",Mazda3,5950.0,419 L,16 cm,,,,,,,selection1,Mazda Mazda3,0.1416666666666666,1,3
