Trim,Mileage,Engine,NCT_Expiry,Year,Transmission,Total_Owners,Make,Fuel_Type,Body_Type,Doors,Trim_Level,Seats,Colour,Road_Tax,Rural_Fuel_Consumption,Comb_Fuel_Consumption,Urban_Fuel_Consumption,Engine_Size,External_Length,External_Height,External_Width,Euro_NCAP_Overall_Safety_Rating,Child_Protection_Rating,Safety_Assistance_Rating,Adult_Protection_Rating,Pedestrian_Protection_Rating,Current_Country_Of_Reg,Imported,Independant_Dealer,Counties,Model,Price,Boot_Volume,Ground_Clearance,County,Fuel_Tank_Capacity,Engine_Power,Top_Speed,Battery_Capacity,Acceleration,section,combined,sentiment,sentiment3,sentiment2
S Line,205989.0,2.0 L Diesel,Aug 2026,2018.0,Automatic,2,Audi,Diesel,Hatchback,5,Sports Trim,5,Black,,,,,2.0 L,4.73 m,1.39 m,1.84 m,5/5,87%,75%,89%,75%,Ireland,UK,Independent Dealer,"Oranmore, Co. Galway",A5,25950.0,,,Co. Galway,,,,,,selection1,Audi A5,0.3227678571428571,1,1
S-Edition,116500.0,1.5 L Diesel,Jan 2026,2020.0,Manual,2,Renault,Diesel,SUV,5,Medium Trim,5,Grey,200.0,,4.5 L/100 km,,1.5 L,4.49 m,1.61 m,1.84 m,5/5,81%,71%,89%,74%,Ireland,No,Franchise Dealer,Co. Carlow,Kadjar,20450.0,"1,478 L",20 cm,Co. Carlow,55 L,,,,,selection1,Renault Kadjar,0.1785037878787878,2,2
HIGHLINE,120000.0,1.4 L Petrol,May 2025,2012.0,Automatic,3,Volkswagen,Petrol,Hatchback,5,Luxury Trim,5,Black,200.0,5.1 L/100 km,6.2 L/100 km,8.2 L/100 km,1.4 L,4.20 m,1.48 m,1.79 m,,,,,,Ireland,Unknown country,"Private Seller
No rating yet","Killarney, Co. Kerry",Golf,8990.0,,,,,,,,,selection1,Volkswagen Golf,0.0,1,5
EXPRESSION,96000.0,1.1 L Petrol,May 2025,2013.0,Manual,4,Renault,Petrol,Hatchback,4,Base Trim,5,White,270.0,4.7 L/100 km,5.5 L/100 km,7.0 L/100 km,1.1 L,4.06 m,1.45 m,1.73 m,,,,,,Ireland,No,"Private Seller
No rating yet","North City, Co. Dublin",Clio,6000.0,,,,45 L,,,,,selection1,Renault Clio,0.3897186147186148,2,4
Luna,47736.0,1.8 L Hybrid,May 2027,2023.0,Automatic,1,Toyota,Hybrid,Saloon,4,Medium Trim,5,Silver,,,,,1.8 L,4.63 m,,1.78 m,5/5,84%,77%,95%,86%,Ireland,No,"Franchise Dealer
4.4/5",Co. Roscommon,Corolla,29950.0,,,Co. Roscommon,43 L,122 hp,180 km/h,1.3 kWh,11.0 sec,selection1,Toyota Corolla,0.1815716911764706,1,1
R-Line,9000.0,2.0 L Diesel,Jul 2028,2024.0,Automatic,---,Volkswagen,Diesel,SUV,5,Sports Trim,5,Red,270.0,,5.6 L/100 km,,2.0 L,4.54 m,,1.84 m,,,,,,Ireland,No,"Franchise Dealer
4.3/5",Co. Limerick,Tiguan,57900.0,"1,655 L",,Co. Limerick,55 L,,,,,selection1,Volkswagen Tiguan,0.1372402597402597,1,2
Zetec-S,194000.0,1.6 L Diesel,Jun 2025,2014.0,Manual,2,Ford,Diesel,Hatchback,5,Sports Trim,5,Red,190.0,3.7 L/100 km,4.2 L/100 km,5.1 L/100 km,1.6 L,4.36 m,1.48 m,1.82 m,5/5,82%,71%,92%,72%,Ireland,UK,"Private Seller
No rating yet","Shannon, Co. Clare",Focus,7500.0,"1,101 L",,,,,,,,selection1,Ford Focus,0.0116071428571428,1,4
N,308000.0,3.0 L Diesel,Jan 2020,2008.0,Automatic,10,Audi,,,,,,,,,,,,,,,,,,,,Ireland,No,"Private Seller
No rating yet",Co. Cork,Q7,6250.0,,,,,,,,,selection1,Audi Q7,-0.152020202020202,1,1
BEETLE,159290.0,1.6 L Diesel,Feb 2026,2014.0,Manual,4,Volkswagen,Diesel,Hatchback,3,Base Trim,4,Red,200.0,3.9 L/100 km,4.3 L/100 km,5.1 L/100 km,1.6 L,4.28 m,1.49 m,1.81 m,5/5,90%,86%,92%,53%,Ireland,No,"Verified Trader
4.6/5 (7)","Roscommon Town, Co. Roscommon",Beetle,7950.0,,,,55 L,,,,,selection1,Volkswagen Beetle,0.1563492063492063,1,2
---,122309.84,1.6 L Petrol,Nov 2026,2018.0,Manual,2,Hyundai,Petrol,Estate,5,---,5,Beige,,,,,,,,,,,,,,Ireland,N. Ireland,Independent Dealer,Co. Monaghan,Tucson,16500.0,,,Co. Monaghan,,,,,,selection1,Hyundai Tucson,0.1600852272727273,2,2
